t,EKF_dev_min1,EKF_dev_min2,EKF_dev_min3,EKF_dev_min4
1,0.044207749532260254,0.1072908163160943,0.14192051722824653,0.06399830850090524
2,0.00023178305200273385,0.3826603646802379,0.09421399311491417,0.1696508081187421
3,0.0001046723885130442,0.17406809516217195,0.2463818092826632,0.20169915466648916
4,8.237595764299665e-5,0.13281694628450685,0.20517872487633473,0.186842731610915
5,9.562763247584035e-5,0.10205243911778111,0.19306641683472153,0.17238240785014564
6,0.0001068021205891619,0.07647342629549506,0.18937325086040027,0.1632306552273102
7,0.00017473066740473676,0.056035369356188885,0.1872883951411225,0.156336399604615
8,0.0001186349608884515,0.03878044088487401,0.18410866662260802,0.14895743602305947
9,0.000181477971637021,0.026501514043390184,0.18102995120715948,0.14096013952845432
10,6.550009460646e-5,0.026726673452870657,0.17492729584764383,0.1330497580790358
11,0.00024173235639350827,0.04113656247100024,0.17024367922109956,0.12517175057103977
12,0.00019617775860097207,0.055479921806842275,0.16319527721835472,0.11654414309334357
13,0.00017052926737543147,0.07592552642215174,0.15700599643646257,0.11017589357778149
14,0.00018542713946034027,0.09989898216639517,0.15182085375066853,0.10344894243850954
15,8.596653240163767e-5,0.12034630727402086,0.14548210071786816,0.09429991385734685
16,0.00030126716939498364,0.14840636113303673,0.14064967052029995,0.08896632044914868
17,0.00016849153555753053,0.17923023347139344,0.131659735750915,0.08145469616488414
18,0.0002661537680668012,0.19596758512966458,0.11854936586675927,0.0758063298496923
19,0.00015806909125896403,0.21505252600148983,0.1178212515334511,0.06942101809089288
20,0.0001275655336702711,0.24957809261819688,0.11727820244520983,0.0649359633802774
21,0.00013004182841514354,0.26618910160715464,0.12622403390970907,0.06335785080540447
22,3.963273907666402e-5,0.2791238402960751,0.11548896893810903,0.05708388493192697
23,0.00021098872509924368,0.29789944601122353,0.11140913127291459,0.054047852355526185
24,0.00017729161086213976,0.32244335149859166,0.11566326952452707,0.049827595917976995
25,0.00026615463683647873,0.3413083831577549,0.1213193845553114,0.04541568723973991
26,0.0001033580817103476,0.35437006268675547,0.11664637698767505,0.041045391823804046
27,0.00022707528123638298,0.3698276756494075,0.11886099017770381,0.03825416699581908
28,0.00011857210889383625,0.3785817966399642,0.11911327543381749,0.03287339464183568
29,0.00010725681102588553,0.40452903495865383,0.1290445341333198,0.027791038310849284
30,9.50024178809601e-5,0.4319272599347329,0.13886430241461,0.025838176743763413
31,0.00022728495557279303,0.4612811386093923,0.13862056007787663,0.023442736771985145
32,0.00017947833719237036,0.46874610903667313,0.1355441151983299,0.016319990588194788
33,0.00025149961941570045,0.49514852623759953,0.14692521028530262,0.025201664847847943
34,6.082642898677621e-5,0.5272357719806657,0.1399120238038369,0.024564624750499073
35,0.0002426844865898365,0.5484585852922312,0.15630120617475968,0.031351326973799554
36,0.00014085053803606276,0.5651045285549887,0.1522332131482933,0.032491974332523994
37,7.438841992980719e-5,0.5893248371913938,0.15441021104351957,0.036369155120102366
38,0.00016331274895063985,0.6085543751411652,0.14245666230332593,0.04328115256557217
39,0.0001334153201307616,0.6341754464829386,0.13807199044380644,0.04717541567211922
40,0.00016871262072014787,0.6432658868700694,0.15431993053370702,0.06254975474848187
41,0.00020063412770288022,0.6522212271361,0.14976600431885964,0.058349195484723754
42,0.0001936706604116595,0.6561392641976528,0.16102604268304777,0.06603292036308221
43,0.00028965830481242225,0.6506156070129996,0.15053265397381496,0.06974747372074043
44,0.00023882926843838754,0.6248056384782287,0.1488278811517,0.07707084441999477
45,0.00013572774936299194,0.5850819501965371,0.13635178242861737,0.08124259639134311
46,0.00015870324033768067,0.5504557756405652,0.1263606442101679,0.09006950406679018
47,9.516862818586791e-5,0.5065994623357559,0.11859073781528051,0.09874993122721162
48,0.0002638603708225527,0.46080306338675314,0.097057088011902,0.11430007584664295
49,0.0002029982517577454,0.4160685980350918,0.0706757147806436,0.11914116381180904
50,0.00013033781818073853,0.35532289002609485,0.04927669020225968,0.12822172532627216
51,0.00021143659022593528,0.30800315784735066,0.052171995642257406,0.14185452289179415
52,0.0002586671158360055,0.2523318331825669,0.06968076870323678,0.15092236160763556
53,7.707214613412632e-5,0.21789585898107802,0.10223670023446568,0.16085917808927844
54,0.00017804206232647444,0.168198730951994,0.13960190502747447,0.17458023455749078
55,0.00021016362052576613,0.13128663279966893,0.16475343398657133,0.18545353024784772
56,0.00014325559999247788,0.1007828493882433,0.17629386831557853,0.19835324493095866
57,0.0003293030925003936,0.07262859264493143,0.1911525850591446,0.20815764405883533
58,7.557958715209694e-5,0.0494267191629252,0.1793170247903353,0.21625662055744233
59,0.00011394696206897156,0.037093787296832006,0.18154858340820196,0.21894073173048115
60,0.00017521474450484683,0.042414588107926914,0.16994498483867018,0.2209104928628374
61,0.00014160519624164907,0.04100149505593832,0.15252351471633105,0.21898151830626086
62,0.00011694990894684494,0.0392191274903611,0.13401338441529656,0.21674745924819336
63,0.0001303529008931083,0.029788395396471046,0.1096724528367619,0.21173740503090716
64,0.00020872690144420783,0.02206102672908087,0.09519395908960529,0.20756021498876737
65,0.00018049459749852278,0.023259717188100177,0.10129167227875001,0.1983848556832337
66,0.00012041196558018465,0.01963449302744452,0.07349402572194808,0.1908536044112156
67,0.00012612498354246015,0.023569261004641434,0.06217902627225434,0.17799498931579624
68,0.00016666117625397715,0.01713132909710018,0.03984856578680958,0.16997984302732574
69,7.895350632251652e-5,0.014210173279027412,0.02325540999025731,0.16317752649003092
70,0.0002626509308622595,0.012123926116764225,0.02406938010738953,0.145539149291917
71,0.0001279444498352587,0.01771675102052296,0.0260799052613241,0.13233482772745545
72,0.00024210387894724918,0.02368850176707548,0.025847711534978782,0.11576027983049518
73,6.924642715796367e-5,0.023356394674412907,0.018001784858616265,0.10620188273161618
74,0.00011408495010413977,0.021490563638753287,0.009863069282691239,0.09763643105885993
75,0.00012920604967626664,0.026810941643138256,0.028498109660137497,0.06964987747985198
76,0.00017239361964926995,0.017672985723947002,0.01586390527983953,0.07020435564380835
77,0.0001196561300922898,0.016317304611578536,0.014836608234007924,0.053963171090417705
78,0.00016876250221155314,0.012617470439390568,0.00916795796113642,0.04356655494298649
79,0.00010095690557922076,0.01287396338218013,0.018611525216024025,0.021826503338418773
80,0.00019064802243444492,0.013541311451466184,0.03331167496823628,0.01480483176842087
81,4.292034332899685e-5,0.008076093986461249,0.015240722091886772,0.005558436352676276
82,0.0001290373876234199,0.003663190041886138,0.021125705009114166,0.019006616259956238
83,4.5747140372789755e-5,0.003733372056987357,0.017951448258483594,0.029853636560331673
84,0.00011237890660378345,0.009290988143019051,0.01545771001691735,0.039223780157912995
85,5.9312890170020335e-5,0.003494013189653997,0.011657055761738824,0.05531071316735112
86,0.00017105725543625956,0.004904229059024479,0.010975144846765135,0.07139653814805552
87,0.00022253732359068162,0.007770042780480385,0.01624327322289012,0.08443600055722922
88,0.00011814391651503658,0.0061963025842800635,0.01862374804224809,0.09931467281247901
89,2.136126322786905e-5,0.014546773975228971,0.010032025587002958,0.09842053001753644
90,0.00011720231221952117,0.011889144035168043,0.01200113968337427,0.11255976574310589
91,0.00012687684182634114,0.017512024372693766,0.004156598292665116,0.1110688079199342
92,7.008983118312124e-5,0.021276580398832574,0.012327792558595322,0.1286207216958149
93,0.00014082743945425938,0.02781286756541612,0.019981249427348503,0.13632211110093753
94,9.49106366120267e-5,0.025957973667991185,0.020766186390172702,0.16675925913300238
95,6.726951804485099e-5,0.03396282631470519,0.0168797419365563,0.15072895912397066
96,0.0001686974398768762,0.03405431163890138,0.031103485333656155,0.11349587089826801
97,0.00015444640005909344,0.03661413014568087,0.03560449779572213,0.11615372176165802
98,0.0002132704695418496,0.04026301594919279,0.02969788664503997,0.13198101418282376
99,0.00016219609659605692,0.05276511174590501,0.023308178250741916,0.15765360020327068
100,8.608068710645431e-5,0.050882154800743595,0.011122540979878812,0.15163438248151861
101,0.00023177006663713536,0.046847227843041406,0.014850961081288097,0.15444593757331887
102,0.00014412036353302443,0.04122487348136393,0.026828673731911022,0.15983266339405486
103,0.0002729526680080077,0.03620975458737245,0.01716418772752226,0.15502709360403447
104,0.00010655010147499064,0.033350911009704685,0.012660165818309428,0.15985549342451055
105,0.00014489895309140711,0.029941451757645003,0.016803605312242065,0.16129813611137298
106,0.00010202481353736131,0.023805795752648677,0.024398162745141654,0.16399788418261124
107,9.42799098949897e-5,0.03229922822882759,0.028317122929698235,0.15434170546734713
108,5.010979843101873e-5,0.031211024739727714,0.035375838528931475,0.1588695528834914
109,0.0001256590416066299,0.024635028272605813,0.031247371520707935,0.15255689654490032
110,0.00011884492733649727,0.02476990646898261,0.029549322343017936,0.15314280127472413
111,0.00016287333248797176,0.02637944952465111,0.027306551129384425,0.14442222919245085
112,0.00028577003408817626,0.030149709199221636,0.02791104538826037,0.14125379168412375
113,0.00019129199299500337,0.028103318992349326,0.02091565146365638,0.13523460811456786
114,0.00017069021203885477,0.02838904246854777,0.025223070193921594,0.1345406689349429
115,0.00018473154157884643,0.022375325666107528,0.022275904282583858,0.13182225005247628
116,0.00010515708925113865,0.02530698709396423,0.030587698814697015,0.116980501695693
117,0.0001251744274486433,0.026072878771847222,0.036670171634442555,0.11179663938158232
118,0.00016373688463103817,0.018985774465822388,0.016911755877081235,0.10796870282720394
119,5.8911513615428175e-5,0.02197187336949563,0.023372010575561247,0.10526180552560614
120,0.0001805007705697116,0.022948293574211902,0.019621644649750365,0.09898980111007337
121,0.0001861964919477065,0.025388625287266074,0.026939920758349174,0.08782026655664395
122,0.0002283118652107876,0.01926368467369063,0.019561685675065218,0.08202614828901288
123,0.00019352430946264432,0.01662185882140518,0.008557252900833595,0.07461170297323592
124,0.0002784143117323577,0.019317303537343754,0.01083808961147155,0.06681471372378152
125,0.0002499252791580987,0.012365928374974442,0.01240861803328051,0.05535528481110708
126,0.00021552044715772168,0.012071833129042798,0.01116341872092787,0.04449182144730255
127,0.00010695944628604614,0.009743342716764504,0.013041411171990251,0.04197095533013968
128,0.0001990675035775773,0.004626488026384424,0.010344121153026523,0.03512513319566882
129,0.00010842909276578669,0.006277832938620056,0.021028388206492905,0.023918641201182214
130,0.00023524795357884512,0.0035929383964594663,0.02379002179485986,0.013344327190696817
131,9.649143521445933e-5,0.009140832899495587,0.02192105818308414,0.005751066117446185
132,0.00016919316037778998,0.002685806972718306,0.0048326687243101275,0.005951679659271111
133,0.0002225575750680247,0.00595348461743044,0.014473419259201724,0.011615980942744157
134,3.89849427400691e-5,0.0005157764056513267,0.029794603585504086,0.025024698675367024
135,6.185209861130366e-5,0.009418923779300353,0.02865071458612403,0.02212340527759385
136,2.8201855727750846e-5,0.0022891447078542356,0.02073175275840726,0.0291961147673488
137,0.00017887123598319145,0.001348109152003611,0.007516064171893807,0.03888864602650171
138,0.00021490650742811665,0.002979749266183451,0.012443834960235042,0.046515962704177516
139,0.00020616402632834413,0.0021489536818802514,0.007904409600824707,0.05580554289844146
140,0.00013050806228199525,0.0060426911946848995,0.00656865996838408,0.06186442187343855
141,0.00012818741326120616,0.006727962601714458,0.006582615116470345,0.0688058698677456
142,0.00016245603707696956,0.009131791126929825,0.009262648623082922,0.07918845463229092
143,0.00016523188807041788,0.010647453061548594,0.009634758365394814,0.0831479208551499
144,0.00015391336950126467,0.010270539281872519,0.014056051850030076,0.0875912953633233
145,0.00019006589523721653,0.018072928454751416,0.012627435666850966,0.09520117598532457
146,0.00012283509886386757,0.008923414677535726,0.011146262383286209,0.10548852846748069
147,0.0002236028931566792,0.015432097927149243,0.011090392801525125,0.10588885496304044
148,0.00017795869137607925,0.01546712462758655,0.009889560791461154,0.10837871356320679
149,0.00013477779549111755,0.01657760878956827,0.010960360698084488,0.11207664926700252
150,0.00018123288458781234,0.011949778743625506,0.007377416331366847,0.11613361789975835
151,0.00016990549293475422,0.01411357218815481,0.012475202169496415,0.12276104397867348
152,0.000130781385103264,0.018547394296358263,0.01408004319308216,0.1198541894407534
153,0.00012407433069541935,0.011735490531904575,0.013126788369133465,0.12846775328802204
154,0.0002480316910572079,0.01434481209190224,0.006471749935472659,0.12439226209295216
155,0.0001860552251811084,0.015936773645717276,0.007025826029291733,0.12395629800948599
156,0.00011940250358724195,0.008412761330651077,0.007811561587799089,0.12683995142702195
157,0.0002909808947221629,0.004226072274895994,0.004423224236155032,0.1283508383440038
158,0.00011776827466515787,0.012705796062397075,0.007773143271728265,0.11988345716548682
159,5.791328567240761e-5,0.005012307517339131,0.00571300997283531,0.12437955607271593
160,0.00023582483192762646,0.0037357336558258044,0.006979712945922683,0.12334269932534682
161,0.00011488496163161748,0.010573996873407964,0.005722339990771554,0.1210142483466486
162,0.0001214608728448162,0.006576914926026969,0.010841955847001108,0.12368950448791473
163,0.00018965334054915666,0.008639362566585844,0.009937649111027754,0.1183215892522001
164,0.0001227697663627909,0.01098492650203593,0.0169979677166106,0.09647529528549509
165,0.00020590270721875404,0.012096604022674422,0.007853126899832792,0.09853129349321003
166,0.00019290508056138465,0.006228596399015928,0.008250179633910946,0.10284742114269137
167,0.00014307843949328824,0.009288852215629992,0.008366384964529981,0.0897695795665132
168,0.0001876092232573101,0.004518162964492987,0.006850868942161001,0.09459683996086293
169,6.305569766399884e-5,0.004617619524551338,0.01199544635976746,0.08734327609856173
170,0.000206536430730297,0.011199401886275754,0.011782790703983052,0.07118498007307122
171,0.00014462927402024157,0.00820217129154027,0.016351224293483832,0.06269455712985951
172,9.644234169253181e-5,0.010831573006682482,0.008439261678647005,0.06680450451010493
173,0.00011934552107994997,0.005530695830122769,0.009875651759484802,0.05683493277420025
174,6.335349356424765e-5,0.0063048271553785866,0.008177366072419213,0.05410522337168057
175,0.00020826995971493626,0.010905036606904634,0.017472039840030897,0.030123907875793794
176,0.00011314997466092842,0.007128370310863593,0.006136407644310941,0.047837957425795635
177,0.00011105943420855947,0.004790090090491419,0.006233641102313908,0.039579796095032205
178,9.534555380536518e-5,0.0018215280195048682,0.006540512197909011,0.0300017695535443
179,9.431903836266048e-5,0.0030066547730584377,0.004016038847574519,0.023664204744012634
