dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.505529963951246161e-04,1.565394414023667941e-02,5.305661228384427053e-02,8.839990737046882208e-02
8.687023045273657858e-05,1.052698452608337096e-02,5.458459390551022306e-02,8.142953668210618778e-02
2.297591841482698278e-04,1.142631922798239587e-02,5.853648447441669317e-02,8.279734737605437545e-02
2.048402975401593645e-04,1.662648320639629682e-02,6.272913616563585704e-02,8.987764005487426655e-02
1.841523556506870229e-04,2.224607591078096858e-02,6.560871550012795095e-02,9.270089455055417760e-02
1.458249349555506343e-04,2.616490668731051919e-02,6.872908694674038921e-02,9.701186693598427835e-02
2.524083660339460728e-04,2.247543436578078660e-02,7.307246995444111048e-02,1.013025742075948366e-01
1.445596014255864123e-04,2.373651028821576608e-02,7.562612691963296885e-02,1.018624178774173439e-01
5.627551680752824261e-05,2.670144745186291135e-02,7.479864368526333018e-02,1.023105530310124411e-01
1.741911181996804575e-04,3.023476764345838300e-02,8.098384761078657179e-02,1.066567205510014216e-01
2.612521242348146136e-04,2.845917170462465562e-02,8.116427342030332892e-02,1.142154239260328302e-01
1.725180585377257775e-04,2.697390595619646170e-02,7.937567036465149883e-02,1.094544293519941619e-01
9.711686815927168196e-05,2.548318538178332912e-02,7.916961436731234647e-02,1.130091811011984804e-01
1.112167968670164919e-04,2.413040675916565056e-02,8.122011992442419726e-02,1.180821487051486735e-01
1.203499226359705765e-04,2.451408232661932834e-02,8.265251973031537136e-02,1.125407281697288070e-01
2.278512241507119865e-04,1.963470481451604424e-02,8.054308549233664405e-02,1.157932909077578065e-01
1.188084261970991697e-04,1.978142070656983831e-02,8.497108243734378952e-02,1.216302741269261883e-01
8.616404449655358771e-05,2.095455108414241707e-02,8.280548198014858752e-02,1.186824845884185409e-01
1.599125138553207984e-04,3.543097591866675722e-02,7.767804336317316038e-02,1.136542168682433129e-01
7.095435242678122477e-05,4.255645506838058589e-02,7.404886903825859401e-02,1.070642626770976352e-01
1.360611907805174255e-04,3.957727785540543497e-02,7.523357659997657876e-02,1.064675168460526428e-01
1.837340087130064851e-04,3.705030878563401325e-02,7.484615389106501204e-02,1.085307394374436241e-01
8.814202146453681036e-05,2.917227745355919361e-02,7.820440008909808338e-02,1.018925451557324974e-01
1.517413890339890201e-04,2.326266192061399868e-02,7.608610391208153745e-02,1.003594095475844605e-01
1.663468035435419225e-04,1.810743566283033734e-02,7.714527356116680779e-02,9.882949829582116097e-02
3.323494198094307205e-04,2.520860488963307111e-02,7.645052982962147192e-02,9.745716524844814932e-02
2.080444002200922311e-04,1.778426914510538789e-02,7.315293428876201709e-02,8.935599495045024043e-02
2.092486493248752670e-04,1.571704122039379453e-02,6.961455084283858785e-02,8.484902231257800131e-02
1.919516862166264018e-04,5.933194703593949737e-03,5.814784077229260412e-02,8.110508145226830168e-02
1.318991590933905531e-04,7.996600989070764068e-03,4.991325221327849032e-02,7.720276865489802964e-02
1.922719381686891816e-04,3.546357527491509221e-03,4.079447507305076354e-02,7.139007124169961804e-02
2.687784183222400279e-04,5.943163773324366787e-03,3.087626011202841692e-02,6.860290936656482375e-02
2.767502128495312182e-04,6.571309488280956471e-03,3.092934140223396050e-02,6.278379384919825779e-02
8.542840374662911593e-05,4.710369634069367165e-03,2.180889187571107002e-02,5.739023122959554385e-02
9.361336225177045028e-05,2.794926317988598655e-03,2.084701361833287900e-02,5.075316336081166224e-02
1.764381118477871427e-04,8.066973513751390240e-03,2.213390893885594513e-02,4.680956897319568655e-02
6.693975497957159405e-05,9.380338835943614895e-03,1.639267255218478103e-02,4.204927082847283171e-02
5.835996759766801968e-05,9.110697197766692845e-03,1.523520780039660551e-02,3.718557736914605144e-02
1.037762245803962351e-04,2.112248579748580903e-03,4.735127192376405170e-03,2.586903279556715049e-02
1.719025074165611967e-04,5.220422279669539867e-03,5.685411670559352426e-03,1.999405164961105125e-02
2.173517151712874658e-04,8.031914193123384713e-03,6.148756904543179087e-03,1.950599021368735683e-02
2.031649768305541430e-04,1.531095645851453420e-02,6.578816498778232609e-03,1.417638181375092954e-02
1.299741906266466151e-04,1.663229552400964303e-02,6.596858228000073397e-03,1.155359813807673060e-02
2.494812907397485390e-04,1.263817719434534581e-02,8.117546028655634946e-03,1.026976879603479220e-02
5.912493711749276841e-05,8.000408988534244564e-03,1.477133916788791503e-02,1.578919783463127169e-02
2.279583505520337461e-04,8.226205925362035584e-03,1.669679474451883638e-02,1.986729410319663588e-02
6.460125794172964851e-05,7.466260659001720985e-03,1.788680595570479870e-02,2.052491181321056124e-02
9.507839898183635240e-05,7.399669612876969872e-03,2.146796529793324609e-02,2.344478659829362863e-02
2.884407488457108601e-04,1.334706554412099996e-02,2.726679402908839880e-02,3.934166591869649870e-02
1.621205483995300238e-04,1.157869519186789133e-02,2.135945893339010956e-02,3.248928931958607047e-02
1.494992509752487617e-04,9.508139730745645071e-03,2.149591137481961234e-02,3.207538911590415709e-02
2.833344749712667391e-04,5.431556565668679143e-03,2.247361318422096826e-02,3.473041573761515705e-02
6.589660016530537307e-05,9.674225443137040789e-03,3.149331021073346198e-02,4.666845457116812479e-02
2.260198084811353841e-04,8.104975046287724028e-03,2.973223744229356799e-02,5.014527948311039984e-02
2.187925068799925841e-04,9.255352558555756878e-03,3.503744057842746173e-02,5.244284320115340930e-02
1.658723093059712302e-04,9.631081845994591759e-03,3.272918384514569151e-02,5.390717191371571099e-02
