dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.614381927031334203e-04,1.105214648085471596e-02,3.345298207021690784e-02,5.236710894009335981e-02
1.715742448712629091e-04,9.055225235546198945e-03,3.135390075791500558e-02,5.121341695697007729e-02
1.493280651868121697e-04,8.887235319344610057e-03,3.040851001783736324e-02,4.985209229668272068e-02
1.566031691554144525e-04,8.285260548927954327e-03,2.916233105296829262e-02,4.879083958110516650e-02
1.653938996684185467e-04,7.730145756732261821e-03,2.682116598333703084e-02,4.835425179447225275e-02
1.524259862166995379e-04,7.047572758191169781e-03,2.483078055007060039e-02,4.732974920012326253e-02
1.526633824072330073e-04,6.205206269432944274e-03,2.280836697228817364e-02,4.535026129958600466e-02
1.650758292414383343e-04,5.790977418121623366e-03,2.103138713076444996e-02,4.415099695994609968e-02
1.563603636460850872e-04,4.989279220767903200e-03,1.907214604244274192e-02,4.274281124603190873e-02
1.543659324718776025e-04,4.950396537961445492e-03,1.732677816444433763e-02,4.052505806177521264e-02
1.604846390647439035e-04,4.876405460080493123e-03,1.554157165905313727e-02,3.832522016894410188e-02
1.591898193251544444e-04,4.652591237090411731e-03,1.420465407271071998e-02,3.694967439419463012e-02
1.413462875111070834e-04,4.766678301995550850e-03,1.304178019170422823e-02,3.482431615598739066e-02
1.548913754668353757e-04,4.777345146954963505e-03,1.187412362296262625e-02,3.251273029666403719e-02
1.580399648089591885e-04,4.264870618402770430e-03,1.113353379086588074e-02,3.061314853571379599e-02
1.536041302322660809e-04,4.934481666461734868e-03,1.041527412963512075e-02,2.938055384702420100e-02
1.614649655310445187e-04,4.980174658136338368e-03,9.728801587802728829e-03,2.704735885067372642e-02
1.506574616727238451e-04,5.328180898693575356e-03,1.052342657672873140e-02,2.596242619809999500e-02
1.402956869550496457e-04,5.135255646019258949e-03,1.010408421988848518e-02,2.361653285116998777e-02
1.493538249893877493e-04,5.664684387446321245e-03,1.065601712908526705e-02,2.285887971139919858e-02
1.515898750718249941e-04,6.143372241518837290e-03,1.056897820145616222e-02,2.123549330238345620e-02
1.472223211407092884e-04,6.329788257728025808e-03,1.091499025558310271e-02,2.051680888934494934e-02
1.596703371833652887e-04,6.110848327785169121e-03,1.095310663556294320e-02,2.015137511357377453e-02
1.532848360496355327e-04,6.269690403127105120e-03,1.167653355443757507e-02,2.024535306368621668e-02
1.517957902955284879e-04,6.546428200541912906e-03,1.259911203066172748e-02,2.058831089729470931e-02
1.552224809268240525e-04,6.624257071371106656e-03,1.319378887994161927e-02,2.096221750477484866e-02
1.634281586372056611e-04,6.814639209832112562e-03,1.358071136377061658e-02,2.177470258872277534e-02
1.633572475648938658e-04,7.208599330946276890e-03,1.433444536076489660e-02,2.298452619448639045e-02
1.536926890715519661e-04,7.536657958008201839e-03,1.507954790283322181e-02,2.400986661128244257e-02
1.605784603816996477e-04,7.884536803534986094e-03,1.587628873413071684e-02,2.501687474185291041e-02
1.521367091437796494e-04,8.161629095044066473e-03,1.637509572708884323e-02,2.673020173400921309e-02
1.581851287005637467e-04,8.751364179675003366e-03,1.676635461814227068e-02,2.752268747868130347e-02
1.634262368701587314e-04,9.480447967644287099e-03,1.729979287061397808e-02,2.855457379545337307e-02
1.700249083332729203e-04,9.765663724272309609e-03,1.691116225554699370e-02,2.955320004735046899e-02
1.475474919623401574e-04,1.064196807949505282e-02,1.802440738016615127e-02,3.048110214209910976e-02
1.575195668899396475e-04,1.091252990578200043e-02,1.727736488186786337e-02,3.061317139159815473e-02
1.490854630827108222e-04,1.115399505121103009e-02,1.736827618645305979e-02,2.933178276849075436e-02
1.487886232213172036e-04,1.223560916281130583e-02,1.761620755584933362e-02,3.038200458309090607e-02
1.551188475614327547e-04,1.179437416979754738e-02,1.751009507372415508e-02,2.843414640844902502e-02
