STM_chief,STM_deputy1,STM_deputy2,STM_deputy3
2.7765445940231013 0.5839697414587582 -4.284787530744702 4097.593848379146 221.9309159192648 -1625.6851379240943 0.17395841569919493 -0.4448053266078523 -0.28676808641596174 65.75904537581918 822.7004276177432 -97.38527789139275 -1.2714480752930657 -0.28574848378628004 1.6106319174059607 -477.25244762205284 -97.03980501718851 1519.3048908774924 0.002810400495496649 0.000678437350802704 -0.0049791761254420926 5.067332243633616 0.20971649607614348 -1.5330689144566985 -9.93141322454089e-05 -0.0009724493161252716 0.00018710447649026665 -0.19955006490986857 -0.4854061823099844 0.020868263360640453 0.0007391627735347968 0.00018907244181168775 -0.0023354347892965135 1.4773559936597753 0.0216803801941651 -0.642464613010476,-0.47160990790882223 0.4511295944591974 -0.3534082540395395 837.1490984713344 174.65622594944685 -396.8981188163823 0.057858700713402676 1.6311203372793635 -1.2740059190279578 23.836303571856497 1518.9349456837665 -466.82032576211606 -0.20234105930406582 -4.364804565336373 2.7720856417455293 -338.84782420206534 -1651.8883568816207 4093.1536391007858 -0.0009151691317860096 0.00071706512614027 -0.0005148032046643923 -0.41208579471469436 0.20562287003100524 -0.7818859419364532 -2.785772972900929e-05 -0.0024687341413750135 0.0008032671614360907 -0.1902369260056156 -0.6867499163141555 1.5653857988350552 -0.0002286183144184855 -0.005043902034709675 0.0027878319361110187 -0.6292977807929094 -1.54297204836287 5.0353231724842935,3.6737206940731575 -2.06535635479703 2.1467864278865547 3432.707259336445 -1507.5104650899184 56.644820323739616 -2.4774433383355334 0.7492833924408622 -1.238808733890528 -1664.6189042784372 1773.832277959034 34.879657821428964 -0.4770312538598987 0.2764040793317566 -0.4844141904539294 -943.5785260680454 612.5568554136428 1234.3875358807534 0.0021684720240483595 -0.0015794622217153982 0.001399471568010973 2.3844462855785085 -1.7673553328577571 -0.7014915489998357 -0.0023601775141948353 0.00024054785732210754 -0.001118961022592416 -2.178836023233756 0.8665934998846742 0.5899288794975417 -0.0035704641457161585 0.001751568640940122 -0.0029247774583145707 -3.32012788425706 2.1024983227658742 0.6880495301053126,-0.4117021917320582 0.12041463106745919 0.1860060884312833 856.6614447582713 178.23299057370636 -134.470105346158 -0.29028836929019247 -0.613739274523335 -1.6699362878649646 22.274647782889993 1536.3084829457875 -1663.0300748072214 1.2142123822729016 1.1578372519312825 4.97966106530543 256.1159915265778 -588.4779972258957 4049.444424111551 -0.0012357169076383035 -0.0003109103053122981 -0.001217800112321767 -0.4264724668613577 0.570482866194487 -1.0457807028606778 -0.0010939394724184576 -0.0020207643277475257 -0.004841289441816222 0.1601835535002682 1.6232306551028781 -4.170858341510358 0.0007410682995114284 0.0005485244790167516 0.002784097376674826 -0.018315247338569436 -1.3431761137161327 2.754899803282986
2.9454213904944027 0.6248866446292346 -4.585096120526374 4406.449465491073 234.2110250327597 -1715.4403462183002 0.16691647055153208 -0.5023524787438122 -0.2736931532674262 52.06377370830931 791.8559808420571 -95.78592897906786 -1.2191352805283684 -0.2725529000247708 1.4579708943461949 -375.94007397710936 -95.38993550541137 1476.5340959800624 0.0028143226586071213 0.0006847300627183307 -0.005025762524947576 5.222391672355147 0.1992527287816253 -1.4560830206559647 -0.000135557065180889 -0.0009452192733379183 0.0002492728847211312 -0.25774703201361276 -0.5423647518467437 0.032328328777828534 0.0010056104948115037 0.0002513236657818443 -0.002756618100575302 1.905499114739193 0.03319938490715186 -0.7820125968442337,-0.5254260779650988 0.49502642222997184 -0.38456961005304324 810.9306960944134 186.82352207736653 -445.24957372512404 0.05583995524015794 1.4697625162089774 -1.2175731265078655 10.878550562299274 1473.378885651876 -359.74748405984076 -0.21586182226869538 -4.668736085518384 2.9394105248965485 -377.5125591035317 -1742.090496580483 4399.7877469064915 -0.0008780958747374161 0.0007456386335490093 -0.0005232799738374096 -0.46152282875364764 0.19955298813438166 -0.8293373265674688 -3.9355132741781005e-05 -0.0029133503470891112 0.00107880224610663 -0.24248791227798833 -0.8304659228228357 2.00962201587593 -0.00022167565379067409 -0.0050814067572788795 0.0027849968234503254 -0.6588778618713369 -1.4609767132788516 5.180020085215706,3.7989407046940635 -2.1571059539995665 2.2281031513656986 3571.596614729621 -1612.3799809252541 12.808808474572157 -2.6173338917584212 0.763830794954331 -1.3056498730565478 -1795.605307832351 1824.6098765976797 72.21645733480673 -0.7021604505897061 0.3865627463109215 -0.6666813221080029 -1153.6095483734975 745.8917706917453 1279.9261650521137 0.0020002813868050602 -0.0014759308554344144 0.001308045218299565 2.239731940047711 -1.7245990448816377 -0.7576132343697093 -0.002299325386430284 0.00024321875780083864 -0.0011075707726489346 -2.1841081164031424 0.8243475319167289 0.653871934274175 -0.003933116665706234 0.0019197206225313088 -0.00315172389208343 -3.681507511065214 2.3427983354086725 0.833131509980325,-0.4861943836919156 0.09998357625310314 0.10772543603848962 829.7828496795803 215.3013503105622 -201.61074325962744 -0.3590245301624189 -0.738167243005824 -1.9711544941222978 33.29135891407672 1640.0087955308077 -1923.6122275722016 1.2567672742816842 1.189110934546094 5.13871726039242 254.2142037451411 -669.5112163171382 4208.627471501351 -0.0012470098391202643 -0.0003708337756176754 -0.0013918746312894844 -0.4687483053450063 0.666422478910656 -1.1928955447971472 -0.0011973859852998747 -0.0021274186884101542 -0.005197058523277562 0.2079023759246281 1.8357338153441183 -4.514106092434822 0.0006756305507921193 0.0004921339345732652 0.0025105511803977074 -0.04465064247859535 -1.3538408841581102 2.544257422860891
3.1137132627685404 0.6660458186343905 -4.887207812319573 4723.575951612868 245.79811971923613 -1800.099940258728 0.15767870106517384 -0.5581643724673757 -0.2567929157923364 34.7380045753361 757.6645474585442 -93.52210654612463 -1.1506819059802098 -0.2555276025235172 1.2794570631085185 -247.9229097138146 -93.07222520654017 1425.6293938177832 0.0027907618295165575 0.0006864486651180861 -0.005038805483959815 5.342228552407593 0.18663437641192784 -1.3633507726986007 -0.00017244206111449376 -0.0009146268289217671 0.00031455968995572174 -0.3205094780981293 -0.5969296169209629 0.042977134827566495 0.0012766943606023992 0.0003166741372365713 -0.0031968160878832956 2.3670923163150426 0.04390121525021662 -0.9132617510456384,-0.5769102504720828 0.5405380733874157 -0.41612385008409825 781.8083139235371 198.55457871117636 -496.35145064476467 0.05314819119023246 1.281124132653663 -1.1444635102712473 -5.3558125045396565 1419.4591180655484 -224.98246458813722 -0.22889486450021723 -4.973852854289369 3.1057154275412953 -417.8280583331603 -1826.878973978038 4714.009507207751 -0.0008374657253334723 0.000770805646416969 -0.000527859064498109 -0.508862850417564 0.1910845046291117 -0.8734328004260008 -5.0247041216000504e-05 -0.003377652474893066 0.0013586338696741742 -0.2994126549134559 -0.9651797355900338 2.487983762238399 -0.00021237124973906376 -0.005082905363447618 0.0027536912951896 -0.6842050642618243 -1.362664839942328 5.287414368390564,3.9131239174163377 -2.242119217824258 2.3033739731446885 3700.8092421304027 -1714.007897290434 -33.99240612399212 -2.752934958538136 0.7783288574715415 -1.3715264776443086 -1926.3065206066703 1872.5487100960074 113.23700063675999 -0.9488804654350802 0.5066713256302062 -0.8627182555500071 -1385.3929932083704 893.7644830244252 1334.7411855549165 0.001800587455179864 -0.0013549704467117995 0.001197735112641744 2.0617513068014324 -1.659137033213681 -0.7999254863811043 -0.0022171159213204726 0.00023885640139607118 -0.0010866475284728194 -2.1691264531424257 0.771845812647417 0.7124533370523218 -0.00428952615103831 0.0020829105712633984 -0.003383522096742806 -4.044556224260196 2.586682205172696 0.9970922388076119,-0.5613005434919746 0.07583071174997119 0.018958913793720906 800.5021209545984 258.3536656779945 -277.68155367929666 -0.4339796530423671 -0.869092394663326 -2.293269082174384 47.32341299123166 1756.8476280223188 -2204.546017806591 1.2950678731181842 1.2166640269855284 5.28006191566956 250.81820175636483 -750.4194974656075 4353.915117421106 -0.0012561608930684788 -0.00043494729334576004 -0.001567055741927853 -0.5065029278596935 0.7698540535521461 -1.3432036941273047 -0.0013010785454015713 -0.0022372113295637515 -0.005537118287342789 0.2606412175852242 2.0607788581983963 -4.84851257291381 0.000599191020120123 0.0004242835733925498 0.0021937744426798974 -0.06797318033994625 -1.3385537856737841 2.2916401275484954
3.2797492148087874 0.7071614195317812 -5.189026062316565 5046.7179775887635 256.5665894245903 -1878.7461818985826 0.1462186437527159 -0.6120428513653609 -0.23589064788146272 13.518916024337598 720.2773337035704 -90.64962056077466 -1.0658986086382576 -0.23449710283122588 1.0740212120476818 -91.27616104860044 -90.14288908742274 1367.1477540500296 0.0027390413436037815 0.0006832167372213118 -0.005015532526722892 5.422145888187362 0.17198949406793498 -1.2558166662288779 -0.000209565039954638 -0.0008807929446053377 0.00038261093535356253 -0.3874537510915424 -0.6488500379346115 0.05257890319991627 0.0015494384251770075 0.0003847669635103925 -0.003653583179965511 2.859296481461191 0.0535484261561002 -1.0342609727845764,-0.6258545037161856 0.5874445227276854 -0.4478302993283132 749.9116477811017 209.70642210836365 -549.9782612631038 0.049827723458260434 1.064106139645136 -1.0545154258123282 -25.13828206156816 1357.7796696156447 -60.5698857034095 -0.2413007481823558 -5.277905342375686 3.2692704222566817 -459.51802775138583 -1905.304374331391 5033.433487079476 -0.0007934636685980401 0.0007920455760070674 -0.0005283208054624436 -0.5539789249516802 0.18025568719709129 -0.9133679552955947 -6.026836827253611e-05 -0.003858837467495417 0.001639539300720983 -0.36069862024519295 -1.088779766977637 2.997288856853789 -0.00020078752029159688 -0.005045457389854226 0.002693254890270048 -0.7045785151972292 -1.2490700323424924 5.352638403318141,4.014385072307206 -2.319361794703215 2.371429598160291 3818.328168061205 -1811.0045040502307 -82.85791406057582 -2.8829528513900122 0.7923481043742145 -1.4358374445751168 -2055.4726020072703 1917.0123929092135 157.57137099579728 -1.2167022399624905 0.6363741569903631 -1.0727688553760726 -1638.9093578931052 1056.3144596285874 1399.9307508137392 0.0015696112912389655 -0.0012169922362825249 0.0010673483228734156 1.849867719188904 -1.570096870538295 -0.8260317027559564 -0.0021131733746926487 0.0002272273497160094 -0.0010552230296339725 -2.132765935604726 0.7084035933225739 0.7640645137149181 -0.004635866989448944 0.0022392083051164724 -0.0036185568410836365 -4.4052514628932915 2.8316013649832072 1.1787146191575588,-0.6368880163126602 0.047709679186428745 -0.0803099076210526 769.0973122514525 307.820855811184 -362.8280774866106 -0.5151389402115486 -1.0066783214711552 -2.6352083132827993 64.66114970195446 1887.501264054297 -2505.1678226774184 1.3284427409871864 1.2397693517361736 5.401117199823093 246.13553574643177 -829.5656746906799 4482.779743055846 -0.0012630278572712346 -0.0005030685543094708 -0.0017416663119868842 -0.539519428507294 0.8801299057216333 -1.4951515947164558 -0.0014040186796895559 -0.0023492846144889546 -0.0058571644467219075 0.31801845995628325 2.2957633449697177 -5.169624783464221 0.0005113862493467879 0.0003436591443605584 0.0018343823045748478 -0.08739236696486694 -1.2946879819212938 1.9968315263746796
3.441828042475938 0.7479257010084491 -5.488292958670924 5373.345523362015 266.39955163518175 -1950.5256202659114 0.13253439704204212 -0.6637972571463501 -0.2108322945800189 -11.830903156030516 679.8602055067993 -87.23801758759338 -0.9647769089608906 -0.20930875561409895 0.8407509700225526 95.73703060556653 -86.67197765215063 1301.7598416872465 0.0026588322102214647 0.0006746815177785799 -0.004953343824452164 5.457696342147123 0.1554806359973379 -1.1346766987672716 -0.00024651228245072687 -0.0008438464865761727 0.0004530251101679847 -0.4581169557052938 -0.6978883251936162 0.06091224253957527 0.0018207967163631513 0.0004551978460380759 -0.004124138561900353 3.378689773209925 0.06191800324075705 -1.143176923579771,-0.6720623512011212 0.6354946882688224 -0.479436486662737 715.3776115845528 220.13961066618901 -605.8563838847549 0.045938521292617183 0.817789459177153 -0.9477633192258778 -48.71892759666066 1289.0675800029228 135.23502051364687 -0.2529462068487028 -5.578473797802711 3.4283174254200386 -502.2648119778427 -1976.4877478697265 5355.390550441123 -0.0007462857208231592 0.0008088449823416213 -0.0005244922919765082 -0.5967573059196832 0.16714600305038632 -0.9483448077154654 -6.916330347156271e-05 -0.004353711684719228 0.0019182129831350379 -0.42594431440671976 -1.1992837114360462 3.5337031010452735 -0.00018704758459804117 -0.004966337712937342 0.0026034115439836436 -0.7193223692108504 -1.121505016119044 5.37111747101741,4.100862392266523 -2.3878296667738685 2.431032338680467 3922.1098081037803 -1901.935104259712 -132.74611629717438 -3.0060772770241218 0.8054479483918836 -1.4979242016281875 -2181.7920774116737 1957.3265898527281 204.75315685431244 -1.5049058296024365 0.775200194732579 -1.2969728017948867 -1913.8920685835303 1233.5231665909512 1476.5083740421524 0.001307915288397783 -0.001062595683982122 0.0009158028555623541 1.6038340903229178 -1.4568545269728552 -0.8336460244747135 -0.0019873213466551536 0.00020819512613089124 -0.0010123527944578092 -2.0741037090536802 0.6334430254198018 0.8071018514721116 -0.00496827535119261 0.0023867016300626754 -0.0038549711038100678 -4.759387850270344 3.074842314179133 1.3763952792596308,-0.7128148725690859 0.015387651252141456 -0.1899949285429696 735.8578201516921 364.090008751046 -457.099538317193 -0.6024254033542816 -1.1510310092385965 -2.9956430314846463 85.56850330720016 2032.4790503829977 -2824.544787861604 1.3562013210128916 1.257622165471993 5.499356972796775 240.42662869772667 -905.1630252557729 4592.6967388040375 -0.001267443867604252 -0.0005749281540978067 -0.0019139689971929565 -0.5676370766375407 0.9964371921643941 -1.6470855058942713 -0.0015051332464230127 -0.0024625761343126124 -0.006152929626676588 0.379535884154589 2.537730029954503 -5.472931585550062 0.00041194443303522614 0.0002489947639319084 0.0014334833688497165 -0.10203915223678883 -1.219894248567768 1.6601512234568785
3.5982393733090094 0.7880105944400245 -5.782600766985008 5700.670996774599 275.19085765300105 -2014.663706292192 0.1166490314407499 -0.7132448846633955 -0.18148927642927773 -41.51879628172089 636.5928656272516 -83.36959126864558 -0.8474921527204744 -0.1798355526315318 0.5789105826347254 314.63134979921216 -82.74238329652512 1230.241999470377 0.002550158237115311 0.0006605192349993402 -0.004849851612636997 5.444753060762214 0.13730262505505572 -1.001361854481415 -0.00028286604167818304 -0.0008039235919499191 0.0005253548806311035 -0.5319603903147884 -0.7438211503989696 0.06777430978078386 0.0020876945979338376 0.000527516860088365 -0.004605378194779123 3.921293172341086 0.06880557448527695 -1.2383253830981846,-0.7153493725210575 0.6844070781893616 -0.5106810575447103 678.3495614140822 229.72069848183145 -663.6648215290926 0.04155548830294113 0.5414579385437686 -0.824441227192376 -76.32110703497663 1214.1639869039961 363.9281413423721 -0.26370654812207256 -5.872982688776161 3.5810935597938145 -545.7112537735985 -2039.6368518626714 5676.948006062207 -0.0006961378976889911 0.0008207048766778581 -0.0005162508235701239 -0.6370969017677295 0.1518757073753491 -0.9775842550395346 -7.669073438528536e-05 -0.0048587080270463 0.0021913157704171087 -0.49466132117626305 -1.2948767918699222 4.092770738087403 -0.00017131382073922764 -0.0048430871147081235 0.0024842784723590424 -0.7277977146593638 -0.9815438977405148 5.338655067876361,4.170738150771312 -2.4465603452551923 2.4808836402849885 4010.107884943972 -1985.3354483548967 -182.48265683382903 -3.12099352671336 0.8171825811368468 -1.5570726620659174 -2303.904623211257 1992.7858489465843 254.22053050145513 -1.8125393370029224 0.9225647701752311 -1.53535122691422 -2209.817941282725 1425.2050353949633 1565.379969818961 0.0010164054794323503 -0.0008925648513938828 0.0007421566230755903 1.3238102301887038 -1.3190515659743385 -0.820636130505936 -0.001839590104270871 0.00018172243613120512 -0.0009571338148431281 -1.9924371278652648 0.5465069205457509 0.8399928088623669 -0.005282890198944653 0.002523519071779466 -0.004090671578515004 -5.102625359416179 3.313555818738146 1.588152858336137,-0.7889284501132593 -0.021349336627573625 -0.3099044872223725 701.0809395563649 427.4945938891148 -560.44344063501 -0.6956956530381149 -1.3021866237921242 -3.3729904861535864 110.2760910108146 2192.1030571197894 -3161.473202936681 1.3776397948413148 1.269344036405353 5.572336450193259 234.002971298385 -975.2935417706294 4681.177104883159 -0.001269218225988961 -0.0006501663290978236 -0.0020821857374256785 -0.5907536369329905 1.117802480770476 -1.797272108172231 -0.0016032836931749097 -0.002575821854001664 -0.0064202369735274125 0.4445818583066293 2.7833996324707835 -5.753926099150928 0.00030069721145473854 0.0001391054727095 0.0009926804255940666 -0.11108318940437983 -1.11215419824074 1.2824681297834648
3.747284861043864 0.8270696045694286 -6.069405811143474 6025.670505313228 282.8469485601186 -2070.4783006451567 0.09861066290221181 -0.7602114004031582 -0.14776117192439117 -75.71762120665213 590.6679553244663 -79.13815250945697 -0.7144039905721156 -0.14597879202785796 0.2879598352381614 566.6668464368711 -78.44860331685712 1153.466420422943 0.002413396083192175 0.0006404402868307254 -0.004702918540270288 5.379577127937856 0.11767979781817046 -0.8575177943946104 -0.0003182101442539316 -0.0007611670851999583 0.0005991094186810764 -0.6083740851830888 -0.7864407494993098 0.0729846487613883 0.0023470700471723695 0.0006012308278161059 -0.005093891214549893 4.482604131532286 0.0740292999309743 -1.3182001502718035,-0.7555437826771385 0.7338708809581018 -0.5412968697663804 638.9765552028507 238.32465057625075 -723.0367114592678 0.036767422872322084 0.23462006940078114 -0.6849832868185484 -108.13635324908078 1134.0129884781363 626.7203989350451 -0.2734679464862523 -6.158718137174029 3.725854854131416 -589.463262161033 -2094.061169113044 5994.934769937615 -0.0006432351955079847 0.0008271481696359827 -0.000503526549591223 -0.6749086253117431 0.13460464395110938 -1.0003386275368182 -8.262945920409647e-05 -0.005369910037532983 0.002455525208806253 -0.5662779668448045 -1.373947463358605 4.6694566780921765 -0.00015378564633803984 -0.0046735612339766554 0.00233636848809211 -0.7294142523402819 -0.8309991725735291 5.2515144498436745,4.222259266070381 -2.494643784805217 2.519633337075717 4080.298240641405 -2059.72811100779 -230.7708917105932 -3.2263950440642346 0.8271069594617959 -1.6125162561687838 -2420.4147587900297 2022.6612218260836 305.3189036656045 -2.138420325407084 1.0777727088170541 -1.7877928108437908 -2525.9006174658393 1631.0002591004663 1667.3215754699208 0.0006963301066291033 -0.0007078626615055084 0.0005456360391370034 1.0103752994255455 -1.1566093338327676 -0.7850648884982664 -0.0016702218201982801 0.0001478721401397194 -0.0008887227171108396 -1.8872993189839384 0.4472712128957325 0.8612223108629838 -0.005575894879666693 0.0026478522664662757 -0.004323338506271871 -5.430540210877069 3.5447886457914404 1.8116423705894305,-0.8650639647922588 -0.06269090741848808 -0.439739524860118 665.0683071668828 498.3050388538135 -672.701454663924 -0.7947362912058856 -1.460099617274114 -3.7654213646760897 138.97455955830324 2366.48990584884 -3514.480658647693 1.3920476174680658 1.2739886768028283 5.617721701196091 227.22428872311175 -1037.9292754908322 4745.800598594859 -0.0012681378594326632 -0.0007283313237282769 -0.0022445181436506396 -0.6088267740507911 1.243099317243072 -1.9439207305175017 -0.0016972768760232422 -0.0026875636349878 -0.006655053399007089 0.5124367490206878 3.029210229578372 -6.008169180989803 0.00017759041185602068 1.2919740416942102e-05 0.0005140641770437327 -0.11374979016663757 -0.9698292579701101 0.865205335764073
3.8872992347640194 0.8647400099912367 -6.346044611630915 6345.109052008547 289.2885314571345 -2117.3918588679885 0.07849219245717601 -0.8045312275478937 -0.10957824284352478 -114.56163630653134 542.2900872718722 -74.6475804304606 -0.5660543984885887 -0.10767058799442461 -0.032428135589168794 852.8187247229469 -73.89528063659397 1072.389670198493 0.002249270391047692 0.0006141942111879169 -0.004510694497225655 5.258880780600636 0.09686277776128752 -0.7049811408012144 -0.00035213550068193477 -0.0007157259479352199 0.000673757306843764 -0.6866823697056677 -0.8255560109193267 0.07638865092892408 0.002595914253121119 0.0006758062620537975 -0.005585980555683342 5.057637811145001 0.07743338262461075 -1.3814990867229546,-0.7924869408413888 0.7835475032801779 -0.5710142225592669 597.4126544274445 245.83716273996612 -783.561584703731 0.03167567490618688 -0.1029709444248163 -0.5300212205612628 -144.31952866623024 1049.6484592997201 924.5045400561137 -0.28212958035993213 -6.432848215226389 3.8608998810235295 -633.0930684974234 -2139.1853986159267 6305.971264715723 -0.0005878005926586129 0.0008277271267517771 -0.00048630425960863294 -0.7101146480619126 0.11553026853108049 -1.0159040953996052 -8.678307781351926e-05 -0.005883082797018485 0.0027075859246203 -0.6401445841202603 -1.4351198046011544 5.258199971825947 -0.00013469655502525222 -0.004455976886925364 0.002160585615947808 -0.7236415093645753 -0.6718938627096464 5.106494713339694,4.253757697120398 -2.53123289132972 2.545890600117779 4130.704245107328 -2123.6396238742923 -276.2048079586818 -3.3209962428773676 0.8347828127123806 -1.6634400600818335 -2529.906395154423 2046.2085885998858 357.30516649957974 -2.481139735151648 1.2400227748850907 -2.0540405986494235 -2861.087121776904 1850.3695603618673 1782.9581144108975 0.00034927444270828545 -0.0005096230990191497 0.00032566378867754413 0.6645351987153267 -0.9697399336478991 -0.7252302717004666 -0.0014796736600361155 0.00010680697775361689 -0.0008063541349050551 -1.758472141453164 0.3355559502075053 0.8693590741216494 -0.00584355890439629 0.0027579777763869964 -0.004550439873574367 -5.738677950295617 3.7655174999047407 2.0441755522961897,-0.9410432274097559 -0.10879681630582709 -0.5790929921718273 628.1222888736427 576.7198479503288 -793.6066739450889 -0.8992609958498992 -1.6246314158600075 -4.1708699863537655 171.8083214465218 2555.5351438199777 -3881.832017116466 1.3987146592232889 1.2705497076718417 5.633318561373137 220.49470761770823 -1090.956466148372 4784.248916914327 -0.0012639694039020338 -0.0008088794555464082 -0.0023991684379299624 -0.6218745148697404 1.3710586883072275 -2.085206810172426 -0.0017858772846496905 -0.002796161075470699 -0.006853541562483576 0.5822804802397253 3.2713626119825983 -6.231352856326405 4.269350976125516e-05 -0.00013048874302246373 2.0003265588949912e-07 -0.10933624144914325 -0.7917044220082384 0.4103364085545797
4.01667091363896 0.9006453541417603 -6.609752177232204 6655.569377683376 294.4520493499824 -2154.942101864133 0.05639071982357378 -0.8460479008775645 -0.06690376864306045 -158.14274935150044 491.6748167247487 -70.01017820451037 -0.40316329649639737 -0.06487618734313363 -0.38235039010708555 1173.7498187914466 -69.19554647051855 988.0397412740624 0.0020588442145686565 0.0005815743903200515 -0.0042716514988574645 5.079885618057545 0.07512483349446979 -0.5457527765256718 -0.0003842454506026745 -0.0006677548440099633 0.0007487299931556529 -0.76615038728263 -0.8609934449465719 0.0778605913256695 0.0028313109879108404 0.0007506728540501152 -0.006077687611570766 5.640975294703409 0.0788911523753919 -1.4271469598760105,-0.8260337999669048 0.8330725520311543 -0.5995641662900466 553.8162728038874 252.15684013672376 -844.7883595304536 0.026392521469123145 -0.4712991682987525 -0.36037881898130486 -184.98434213344387 962.1790401319175 1257.8254526959295 -0.28960557026201894 -6.69244591768702 3.9845929306326027 -676.1431356004023 -2174.5611406192857 6606.503679485829 -0.000530064077283409 0.0008220306885355447 -0.0004646242734158345 -0.7426475831195815 0.09488492367904035 -1.0236326861795528 -8.89844537904307e-05 -0.006393710262880365 0.0029443591472887672 -0.7155403094208475 -1.4772818860482073 5.852977746211043 -0.0001143104596053119 -0.004188954768908397 0.0019582140218704 -0.7100193556323934 -0.5064292855272194 4.900999800209956,4.263670416441099 -2.555553501884591 2.5582365158912226 4159.422491810163 -2175.6181655928312 -317.2842710565539 -3.4035454442578037 0.8397845961439347 -1.7089860267847825 -2630.9580783837946 2062.6775938920837 409.3534950379537 -2.839068302702372 1.4084134018447774 -2.333679799956106 -3214.057655508526 2082.5910528827258 1912.7435560584508 -2.2848129959226678e-05 -0.00029914142669655423 8.18853150893842e-05 0.2877247292834447 -0.7589537971496485 -0.6397029634032895 -0.0012686186612817217 5.878805090729948e-05 -0.0007093590285608688 -1.6059963584382524 0.2113346490810297 0.8630815042174305 -0.006082279520005631 0.0028522781021909174 -0.004769249962860855 -6.022608133014566 3.9726848071549394 2.2827470358518394,-1.0166735037507777 -0.15979148034361426 -0.7274505202800945 590.5423679115341 662.8574313975618 -922.7823071807605 -1.008908376819166 -1.7955399438469226 -4.587047555599208 208.86980612594252 2758.9004991007573 -4261.539158490229 1.3969388719062146 1.2579702932274204 5.617100550282725 214.25797126793714 -1132.2021182693218 4794.338400327142 -0.001256461883164275 -0.0008911769136973433 -0.002544360599613439 -0.6299747611261886 1.5002822199625208 -2.219296172217029 -0.0018678204887488726 -0.0028998075163048946 -0.007012109724717417 0.6532021166978906 3.5058708204013236 -6.419362583966461 -0.00010379239191629901 -0.00029187063848922586 -0.0005458918121391999 -0.09722716417672173 -0.5770259149665977 -0.07962684135267267
4.133861912744772 0.9343982092782581 -6.8576823217156315 6953.484128508267 298.29092158206754 -2182.791005798843 0.03242664295359412 -0.8846143948577655 -0.01973615778679992 -206.5071835126936 439.04755815978694 -65.34486046156447 -0.22662185447942054 -0.017596061239781982 -0.7616593288972088 1529.7861544740745 -64.46919180449017 901.5018397512623 0.0018435050089960717 0.0005424224378456328 -0.00398461623842128 4.8403751316544605 0.052757882264629886 -0.38196860117666265 -0.0004141608756944564 -0.0006174137006063756 0.000823425766624404 -0.8459914698170006 -0.8925980316375616 0.0773062012708141 0.003050474254897008 0.0008252274751987068 -0.006564820717320503 6.226818133005585 0.07830768211884963 -1.4543148043263794,-0.8560532989748001 0.8820582477331455 -0.6266818378478317 508.3495755311904 257.1971910624777 -906.2290382328287 0.021039290085118994 -0.8700703394176817 -0.17706350225914388 -230.1993171442042 872.7715623190595 1626.8546071472438 -0.2958266784232175 -6.934514564084758 4.095386323340766 -718.1306713567525 -2199.87653174837 6892.842120044891 -0.0004702617062104472 0.0008096915113743017 -0.00043858240480704473 -0.7724496215791992 0.07293241166510435 -1.0229436715689548 -8.909964790852668e-05 -0.006897038541685738 0.0031628704015174407 -0.7916813108587617 -1.4996094838240586 6.447378556412293 -9.291740974364931e-05 -0.003871557606543919 0.0017309004212041354 -0.6881676011167289 -0.3369490642362901 4.633098940993857,4.250558736095456 -2.566913720190025 2.555238203970362 4164.648462959734 -2214.251599871317 -352.43244507487225 -3.4728377990069346 0.8417053164670372 -1.748259307731451 -2722.158755579853 2071.321091254432 460.5626906342264 -3.210365457729606 1.5819496539626545 -2.626126830638925 -3583.228704540746 2326.7592959801514 2056.9428157026846 -0.0004178087548373533 -7.786250497798409e-05 -0.00018580643654972365 -0.11819560304874542 -0.5250636904867246 -0.5273610820896707 -0.0010379443567706495 4.172081638711658e-06 -0.0005971826744582466 -1.430178855647665 0.07474186050465563 0.8412028040526077 -0.006288622671139384 0.002929261668799628 -0.0049768721891536565 -6.277980020143209 4.163235969810508 2.52406613289088,-1.0917465521536815 -0.21575866807411126 -0.8841923578737957 552.621590483112 756.7488031940501 -1059.7418408161589 -1.1232406698818742 -1.9724702272682477 -5.011458322017425 250.19434291797086 2976.0043013852983 -4651.374401229296 1.3860343848320493 1.2351545446837582 5.567235400701821 208.99176948992962 -1159.4626359139106 4774.051751843656 -0.001245349940134947 -0.0009745032895958465 -0.002678361370731903 -0.6332638648660212 1.6292578928650239 -2.344369703235586 -0.0019418275969735222 -0.0029965499723701187 -0.0071274586604939535 0.7242113068454914 3.7286169761063697 -6.568337269604625 -0.00026152823737675727 -0.0004717725088083256 -0.0011207626653083615 -0.07690861643944993 -0.3255320326668389 -0.6016549029645364
