dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.569085504377198403e-01,1.693424724712147278e-01,1.600191485440993211e-01,1.635227296984686496e-01
1.634459355803027014e-04,4.583711801515362450e-02,3.975284837968720564e-02,4.830585696094249343e-02
1.596974230057436996e-04,2.177562942868335044e-02,2.270163548441819779e-02,2.350875414603845887e-02
1.601926127260729505e-04,1.673097268980061614e-02,1.680123393816703933e-02,1.691739450270116768e-02
1.701380027050451076e-04,1.538692053937149376e-02,1.473239790780804352e-02,1.494017363695602715e-02
1.685906879889167423e-04,1.454890138621588863e-02,1.358728231715672884e-02,1.417477642741242147e-02
1.483323840101874068e-04,1.428234371814542797e-02,1.298523562518955239e-02,1.364232413765098691e-02
1.524847543745163985e-04,1.408435050838825926e-02,1.201539923298575868e-02,1.294139664603400318e-02
1.638105893203150058e-04,1.393801131564607193e-02,1.180788198420132558e-02,1.270102838674568024e-02
1.549971571926782603e-04,1.375546695411376460e-02,1.110654502741066987e-02,1.247391413381588807e-02
1.634231300548467719e-04,1.366642781550789568e-02,1.021151935243939067e-02,1.171562576095920051e-02
1.605762138037957149e-04,1.283864971364328221e-02,9.609819406950463258e-03,1.138926721740936635e-02
1.532490350808763779e-04,1.232718087992881392e-02,9.009615016943637797e-03,1.135713616266433197e-02
1.464230972660797295e-04,1.215830356382614948e-02,8.894056812397278799e-03,1.140002732336435447e-02
1.617196557251407722e-04,1.210897790931265115e-02,7.736248328154216730e-03,1.064487080182254138e-02
1.660107711862442766e-04,1.139772541413250871e-02,6.929048079615082907e-03,1.050853010179052943e-02
1.554130588582386743e-04,1.072281994995533810e-02,6.235356309425028193e-03,1.025276766376424786e-02
1.526874168898146721e-04,1.056553540655337867e-02,6.384444430958425599e-03,1.030719625385836426e-02
1.562326082993815328e-04,1.012423053756034835e-02,6.073530259972794755e-03,1.016038796559265954e-02
1.496083818112926194e-04,9.954358242278756042e-03,6.386438747400640867e-03,1.001608323000931222e-02
1.611233850191615136e-04,1.007904907890526218e-02,6.658647272329788237e-03,1.009530042990588322e-02
1.649189111931904353e-04,1.007602081096168473e-02,6.888185673945685511e-03,9.698559914201853802e-03
1.631404408105349246e-04,9.898645811551894449e-03,7.425911111385587703e-03,9.628207072277229078e-03
1.644000199152247544e-04,9.579372923609379142e-03,8.092358366220953753e-03,9.912955440293162376e-03
1.614199474784387721e-04,9.612920833073905491e-03,8.309016310888090243e-03,9.306412876510350429e-03
1.701387368214211677e-04,9.345381109049958127e-03,8.865113368059928875e-03,9.645751559598099781e-03
1.483938017013136797e-04,9.614008499741316313e-03,9.763908319293423260e-03,9.886616151008472200e-03
1.638189254056396328e-04,9.237420686077787990e-03,1.047161628861989664e-02,9.224787885067349189e-03
1.576455384581657362e-04,8.857114217881047538e-03,1.118558601770684550e-02,9.361658100541484992e-03
1.492961397963467958e-04,9.659020717316741528e-03,1.275502452236620260e-02,1.003094142418746795e-02
1.628292956952165989e-04,8.068160047213194727e-03,1.194906944791155473e-02,9.423728059610671573e-03
1.673393681454568463e-04,8.894522927105116827e-03,1.334606311184444345e-02,9.440193350250895496e-03
1.469265011811749530e-04,8.154614802383277142e-03,1.294112586522726954e-02,9.148976169795937363e-03
1.589760706640734871e-04,7.999284299332580159e-03,1.290441943621983834e-02,9.624184740815529618e-03
1.497249417434508051e-04,8.372224875037481001e-03,1.341838703824156653e-02,9.709253380954872836e-03
1.551192139904867379e-04,8.477218142076366203e-03,1.340618458827771801e-02,9.385250506770789758e-03
1.557920858415597467e-04,8.237362997322281860e-03,1.347077963753665758e-02,9.419090322596145731e-03
1.629396379248268067e-04,8.043319466710344146e-03,1.322522236108204970e-02,1.034155293751026078e-02
1.486887299315098852e-04,7.988334020069477043e-03,1.287484294349554650e-02,1.016952094171690371e-02
1.552250478929815647e-04,8.936823182591502671e-03,1.343972227115072283e-02,1.037638763173723624e-02
1.477448202663710758e-04,8.745786935019188996e-03,1.284154094591459169e-02,1.011982496770975556e-02
