F_chief,F_deputy1,F_deputy2,F_deputy3
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.745108019925586e-07 -1.0431316138330282e-07 7.665529367366715e-07 -1.6967516271870904e-11 -3.966924733452494e-13 1.917975233108745e-12 -1.0431330568592e-07 -1.0965681569798711e-06 -4.3963262888841324e-07 -3.966924733452494e-13 -8.735277195149514e-12 9.220915046391154e-14 7.66553965080613e-07 -4.3963261300530097e-07 2.0710789596188757e-06 1.917975233108745e-12 9.220915046391154e-14 -9.162029290002025e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1665264451316942e-06 -2.558382836022648e-07 -5.192099411988411e-08 -1.7085986136449008e-11 -6.254327739316667e-13 2.8167723996773055e-12 -2.558386772352235e-07 2.215450549411422e-06 6.902593899704896e-07 -6.254327739316667e-13 -1.7321255296994012e-11 3.395955355964727e-12 -5.192091961249572e-08 6.902573419668123e-07 -1.0489240922075222e-06 2.8167723996773055e-12 3.395955355964727e-12 -3.1861644295846425e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.32974607743772e-07 -2.988980601525251e-08 1.0217712864190665e-06 -1.7766797148458974e-11 4.584569383910225e-12 2.3881947447749546e-12 -2.988998814487909e-08 -1.1606360750912285e-06 -9.244520492689065e-08 4.584569383910225e-12 -1.3819277666116606e-11 -1.5719460773999308e-12 1.0217701927867938e-06 -9.244454730041758e-08 1.993610684082819e-06 2.3881947447749546e-12 -1.5719460773999308e-12 -1.16205028661419e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.063284969504123e-07 1.044806896689569e-06 5.548437506402833e-07 -9.96775159931319e-12 9.227555115986269e-14 -1.7120317276723271e-13 1.0448066725569688e-06 1.2066314251225424e-06 1.2601693881147318e-06 9.227555115986269e-14 -1.2206064500351286e-11 4.1598932458868095e-12 5.548441207852628e-07 1.2601704978966634e-06 -5.003029286473834e-07 -1.7120317276723271e-13 4.1598932458868095e-12 -1.7681999650911924e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.0606027013054407e-06 -7.65628619030482e-08 5.625067273915262e-07 -1.7112013481401163e-11 -2.913588588552433e-13 1.4031251924738963e-12 -7.65630038702848e-08 -1.0946606544271942e-06 -4.511411007750907e-07 -2.913588588552433e-13 -8.68781615091088e-12 4.847050564239808e-14 5.625077513602821e-07 -4.5114108902718233e-07 2.1552633563313512e-06 1.4031251924738963e-12 4.847050564239808e-14 -8.911175381416465e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1691066192034757e-06 -2.3187176462785387e-07 -3.1459474249059824e-08 -1.6373262446425134e-11 -4.3150204875636586e-13 2.8072702839278647e-12 -2.3187214391623418e-07 2.292891033864813e-06 4.718082723957439e-07 -4.3150204875636586e-13 -1.6200308618227746e-11 2.3004882533333398e-12 -3.1459394963250345e-08 4.718063149140509e-07 -1.1237844028892424e-06 2.8072702839278647e-12 2.3004882533333398e-12 -3.0813242573703656e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.123870866449424e-07 -7.635956173356579e-08 1.1689333641791486e-06 -1.7242016007321147e-11 4.423464311640092e-12 2.806624676674256e-12 -7.635974581154235e-08 -1.1504893237364839e-06 -1.9790137774392057e-07 4.423464311640092e-12 -1.373087801699215e-11 -1.9056991009608657e-12 1.1689322806615615e-06 -1.979007210609157e-07 1.8628764116345586e-06 2.806624676674256e-12 -1.9056991009608657e-12 -1.1936483012513223e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.141192086096799e-07 9.960299582084335e-07 6.212781598031603e-07 -9.99460683413889e-12 -3.012475175374945e-14 4.8696306714932735e-14 9.960297376073062e-07 1.0292183498697826e-06 1.369300505032048e-06 -3.012475175374945e-14 -1.2760361247872929e-11 4.471339803589328e-12 6.212785285486075e-07 1.3693016196662912e-06 -3.150991418472887e-07 4.8696306714932735e-14 4.471339803589328e-12 -1.7222146928292054e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.11960860495497e-06 -4.756359636223953e-08 3.493717165333827e-07 -1.7192512983955075e-11 -1.8217904394304372e-13 8.696783569550897e-13 -4.75637365946729e-08 -1.093311715497564e-06 -4.590557892610202e-07 -1.8217904394304372e-13 -8.646309093422732e-12 1.8530477759641608e-14 3.49372736435747e-07 -4.5905578179622725e-07 2.212920321003477e-06 8.696783569550897e-13 1.8530477759641608e-14 -8.730887338811827e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1712991796949626e-06 -2.0545230748101853e-07 -1.431989437831268e-08 -1.5674380500388912e-11 -2.400146961714827e-13 2.7696903081571655e-12 -2.0545267162033843e-07 2.340679813718108e-06 2.4561756093809697e-07 -2.400146961714827e-13 -1.525456970403472e-11 1.2572210538792876e-12 -1.4319810647105814e-08 2.4561569136382425e-07 -1.169380622607834e-06 2.7696903081571655e-12 1.2572210538792876e-12 -2.96535376088316e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -5.773164095517956e-07 -1.3394918239015272e-07 1.2986840676771104e-06 -1.6682469088466887e-11 4.2275927522968755e-12 3.1633467852959845e-12 -1.3394936890589056e-07 -1.1329350792399258e-06 -2.967423899840124e-07 4.2275927522968755e-12 -1.3617572544108324e-11 -2.218088961605484e-12 1.2986829940451724e-06 -2.967417347058279e-07 1.7102514900402228e-06 3.1633467852959845e-12 -2.218088961605484e-12 -1.2312962631835448e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.255861730543772e-07 9.398201213357358e-07 6.808859186315338e-07 -1.0040630172104378e-11 -1.7875898493799337e-13 2.5376887200072524e-13 9.39819904489298e-07 8.411252824233797e-07 1.4539244504075621e-06 -1.7875898493799337e-13 -1.335452604035471e-11 4.7181043506691386e-12 6.80886286750632e-07 1.453925570466579e-06 -1.1553911006108901e-07 2.5376887200072524e-13 4.7181043506691386e-12 -1.672890541477952e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1506075266376153e-06 -1.7786670028992406e-08 1.306193180584465e-07 -1.720756156936866e-11 -7.089899276828668e-14 3.261603256169816e-13 -1.7786809138819907e-08 -1.0925407335002705e-06 -4.632528329463208e-07 -7.089899276828668e-14 -8.610844661547184e-12 2.6897321597921403e-15 1.3062033420489304e-07 -4.6325282984438466e-07 2.243148260640461e-06 3.261603256169816e-13 2.6897321597921403e-15 -8.622633696722925e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1730501587800473e-06 -1.7705066492329518e-07 -7.839101362683365e-10 -1.499275997861369e-11 -5.4922657447393894e-14 2.7065449138515843e-12 -1.7705101330642122e-07 2.358101748792458e-06 1.567374698433117e-08 -5.4922657447393894e-14 -1.4472842825836903e-11 2.8279088404105426e-13 -7.838224131571097e-10 1.567196232133412e-08 -1.1850515789997125e-06 2.7065449138515843e-12 2.8279088404105426e-13 -2.8402814323226123e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -4.2996980180003035e-07 -2.0172280192946863e-07 1.408857323564387e-06 -1.6097244430542307e-11 4.000707832610982e-12 3.4534745106145234e-12 -2.0172299131013805e-07 -1.1082519055042573e-06 -3.8732887817548735e-07 4.000707832610982e-12 -1.3480945482455953e-11 -2.504187089901559e-12 1.4088562594946584e-06 -3.8732822477108393e-07 1.5382217085378273e-06 3.4534745106145234e-12 -2.504187089901559e-12 -1.2741602036184594e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.405275007285283e-07 8.771425873305575e-07 7.326790097736022e-07 -1.010540867034475e-11 -3.516864175269194e-13 4.407570409956933e-13 8.771423744063672e-07 6.455482129776002e-07 1.51267264848052e-06 -3.516864175269194e-13 -1.398014156888348e-11 4.895756178053402e-12 7.326793780597022e-07 1.5126737744689192e-06 9.497928696171867e-08 4.407570409956933e-13 4.895756178053402e-12 -1.620943739592538e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1531220219664984e-06 1.2285305671882126e-08 -9.019735003345135e-08 -1.7156831546867936e-11 4.0721166732855164e-14 -2.1883798256140936e-13 1.2285167068588801e-08 -1.0923581953592184e-06 -4.6366721710743346e-07 4.0721166732855164e-14 -8.58149807402416e-12 1.0391592426987092e-15 -9.019633732628313e-08 -4.6366721837945466e-07 2.245480217778771e-06 -2.1883798256140936e-13 1.0391592426987092e-15 -8.586889212091998e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1743134389597675e-06 -1.4716987282060446e-07 8.933286602091687e-09 -1.4331291891553386e-11 1.2043455814030233e-13 2.6207003548286496e-12 -1.4717020503551621e-07 2.344990292120912e-06 -2.139964565506639e-07 1.2043455814030233e-13 -1.38416699554918e-11 -6.097317339089833e-13 8.93337776968779e-09 -2.1399815959844183e-07 -1.170676842586785e-06 2.6207003548286496e-12 -6.097317339089833e-13 -2.7081636833219337e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -2.7276175516890343e-07 -2.7857588102305257e-07 1.497597783487875e-06 -1.5495680921654483e-11 3.746996795741177e-12 3.673385319224582e-12 -2.7857607362895774e-07 -1.0768352274116078e-06 -4.681500090750298e-07 3.746996795741177e-12 -1.3322986740304045e-11 -2.759651021926812e-12 1.4975967285658284e-06 -4.681493580101644e-07 1.349596983788506e-06 3.673385319224582e-12 -2.759651021926812e-12 -1.3213471097371122e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.586836960448981e-07 8.09067331483197e-07 7.758065171287626e-07 -1.0188315781730231e-11 -5.465919767114993e-13 6.065742763803699e-13 8.090671225885498e-07 4.4579433277088766e-07 1.5446209477245465e-06 -5.465919767114993e-13 -1.4628233621242218e-11 5.000724515061926e-12 7.758068863868992e-07 1.544622080076375e-06 3.1288936239612386e-07 6.065742763803699e-13 5.000724515061926e-12 -1.5671513246097322e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1271240252500587e-06 4.216561465174118e-08 -3.0949658951141194e-07 -1.7041112767322158e-11 1.509343970318376e-13 -7.567929131354664e-13 4.216547594270339e-08 -1.0927655545839211e-06 -4.602935712260609e-07 1.509343970318376e-13 -8.558331509437685e-12 1.346137998477541e-14 -3.094955799162293e-07 -4.6029357681506233e-07 2.2198895802358055e-06 -7.567929131354664e-13 1.346137998477541e-14 -8.623142837642368e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1750516135923197e-06 -1.163355057371483e-07 1.4686288578485907e-08 -1.3692361556889513e-11 2.8334155942857345e-13 2.5152457030797988e-12 -1.1633582155990838e-07 2.301724913934275e-06 -4.3940194904118857e-07 2.8334155942857345e-13 -1.3346094426566542e-11 -1.4107201707640264e-12 1.4686382574991302e-08 -4.394035739948284e-07 -1.1266732902324382e-06 2.5152457030797988e-12 -1.4107201707640264e-12 -2.571025316349252e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.0827745450522944e-07 -3.632513521448356e-07 1.563392753355507e-06 -1.4887192917937494e-11 3.470986105674355e-12 3.8207277336646235e-12 -3.632515482662535e-07 -1.039192017562216e-06 -5.37848448363293e-07 3.470986105674355e-12 -1.3146041248988916e-11 -2.980776186552879e-12 1.5633917070799769e-06 -5.378478000900543e-07 1.1474694732392141e-06 3.8207277336646235e-12 -2.980776186552879e-12 -1.3719242785425564e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.79742660581775e-07 7.36749823701505e-07 8.09567772888268e-07 -1.0288508908741756e-11 -7.607965598292274e-13 7.48353538795383e-13 7.367496188793703e-07 2.452245571597408e-07 1.5493009900836046e-06 -7.607965598292274e-13 -1.528935853013888e-11 5.030389408770855e-12 8.095681439261294e-07 1.549302129160463e-06 5.345181024645044e-07 7.48353538795383e-13 5.030389408770855e-12 -1.5123443962166157e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.0730347827585666e-06 7.137066418100061e-08 -5.237214213046547e-07 -1.686228555951868e-11 2.5803330103003585e-13 -1.2793771512583133e-12 7.137052476520054e-08 -1.0937552240468117e-06 -4.5318618577183895e-07 2.5803330103003585e-13 -8.541394599494707e-12 3.963578688082512e-14 -5.237204144791092e-07 -4.5318619555433395e-07 2.1667900071537352e-06 -1.2793771512583133e-12 3.963578688082512e-14 -8.729922201507762e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1752366613671224e-06 -8.50856322962054e-08 1.6401329206873925e-08 -1.3077879394117888e-11 4.316941278422761e-13 2.3933751275400908e-12 -8.508593168005374e-08 2.229217524090741e-06 -6.566611448892494e-07 4.316941278422761e-13 -1.2970341214902957e-11 -2.1137649665671523e-12 1.6401425372703737e-08 -6.566626954275111e-07 -1.0539808530971825e-06 2.3933751275400908e-12 -2.1137649665671523e-12 -2.4308101371677753e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 6.076708492788301e-08 -4.543583885303614e-07 1.6050995069693498e-06 -1.4281106074318987e-11 3.177446383090294e-12 3.894400708611818e-12 -4.5435858838579716e-07 -9.959336855517178e-07 -5.952434626725996e-07 3.177446383090294e-12 -1.295275419688294e-11 -3.1645301458727316e-12 1.6050984687579696e-06 -5.952428176194989e-07 9.351666017487341e-07 3.894400708611818e-12 -3.1645301458727316e-12 -1.4249380184584326e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.033455080581586e-07 6.614106455666588e-07 8.334226342020628e-07 -1.0404929314001741e-11 -9.91274032485385e-13 8.634986225449874e-13 6.614104447922797e-07 4.7196251761608475e-08 1.5267034427409856e-06 -9.91274032485385e-13 -1.595370776386098e-11 4.983169502550913e-12 8.334230078204588e-07 1.5267045888310438e-06 7.561492552689015e-07 8.634986225449874e-13 4.983169502550913e-12 -1.4573996376417192e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.917189036586139e-07 9.942717317075451e-08 -7.293925680569778e-07 -1.6623275599979974e-11 3.603753850193248e-13 -1.778582479966521e-12 9.94270324655889e-08 -1.0953106882120968e-06 -4.424582508114097e-07 3.603753850193248e-13 -8.530725024871623e-12 7.904693201806889e-14 -7.293915636394327e-07 -4.4245826459992443e-07 2.0870295921628436e-06 -1.778582479966521e-12 7.904693201806889e-14 -8.904833694427405e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1748504231874683e-06 -5.3960707501403084e-08 1.4076666040517381e-08 -1.2489317489447834e-11 5.639668658220507e-13 2.2582861664600543e-12 -5.396099056290844e-08 2.1288884639431536e-06 -8.620722981466774e-07 5.639668658220507e-13 -1.2698400872089522e-11 -2.715372619209733e-12 1.4076763693984696e-08 -8.620737780465778e-07 -9.540380316233e-07 2.2582861664600543e-12 -2.715372619209733e-12 -2.2893420766300437e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 2.315677290888292e-07 -5.503936372195295e-07 1.6219673776682142e-06 -1.3686507908901053e-11 2.871299966497672e-12 3.894508922673847e-12 -5.503938409553039e-07 -9.477671941758105e-07 -6.393517331065783e-07 2.871299966497672e-12 -1.2746014115938498e-11 -3.3085701514747835e-12 1.6219663468636858e-06 -6.393510916693723e-07 7.161994661545431e-07 3.894508922673847e-12 -3.3085701514747835e-12 -1.479431209976272e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.290930530245604e-07 5.843144187701634e-07 8.469988125258838e-07 -1.0536305035380975e-11 -1.2346760034141555e-12 9.497371942468487e-13 5.843142219484671e-07 -1.449928004393841e-07 1.477273347606568e-06 -1.2346760034141555e-12 -1.6611230394486858e-11 4.858602928952872e-12 8.469991895087892e-07 1.477274500924532e-06 9.740858523760871e-07 9.497371942468487e-13 4.858602928952872e-12 -1.4032289728420258e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.844725488339509e-07 1.2587925396872718e-07 -9.23160624106319e-07 -1.6327992307716023e-11 4.564065057909987e-13 -2.246833678137203e-12 1.258791114167435e-07 -1.097406734294127e-06 -4.282803187049794e-07 4.564065057909987e-13 -8.526349188134106e-12 1.3099596309854607e-13 -9.231596217118665e-07 -4.2828033625146303e-07 1.981879283360753e-06 -2.246833678137203e-12 1.3099596309854607e-13 -9.144616742127261e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.173884875575982e-06 -2.3493633148431824e-08 7.781524491228989e-09 -1.1927750034744417e-11 6.79166584716209e-13 2.1130953255800157e-12 -2.3493900151596716e-08 2.0026329053359595e-06 -1.052178753878083e-06 6.79166584716209e-13 -1.2514511856094028e-11 -3.2146171476295454e-12 7.781622947815338e-09 -1.0521801669634652e-06 -8.287480211263462e-07 2.1130953255800157e-12 -3.2146171476295454e-12 -2.1482965735213714e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 4.0127725076193264e-07 -6.497646980266692e-07 1.6136540456369696e-06 -1.3112115599825939e-11 2.5575334589230936e-12 3.82229814449422e-12 -6.497649057177258e-07 -8.954844595111318e-07 -6.69405452272351e-07 2.5575334589230936e-12 -1.2528895653063751e-11 -3.4112454755618615e-12 1.6136530215140118e-06 -6.694048148057308e-07 4.942072097492534e-07 3.82229814449422e-12 -3.4112454755618615e-12 -1.534459341359319e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.565528308188461e-07 5.067484450569161e-07 8.50096246625605e-07 -1.0681157425632064e-11 -1.4873652399458917e-12 1.0051741060381224e-12 5.067482520208768e-07 -3.2815825301476147e-07 1.401897992395461e-06 -1.4873652399458917e-12 -1.725177326903674e-11 4.657417097539112e-12 8.500966277298858e-07 1.4018991530835544e-06 1.1847110826957277e-06 1.0051741060381224e-12 4.657417097539112e-12 -1.350767312475377e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -7.530057820539889e-07 1.502953183005018e-07 -1.1018568981378518e-06 -1.598125284446543e-11 5.446820530848847e-13 -2.6770914023178294e-12 1.5029517337562732e-07 -1.100009801568433e-06 -4.108779935336457e-07 5.446820530848847e-13 -8.528282925097325e-12 1.946147130507201e-13 -1.1018558973546493e-06 -4.108780145336835e-07 1.853015583791974e-06 -2.6770914023178294e-12 1.946147130507201e-13 -9.445210391396376e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1723422003368533e-06 5.799804071715916e-09 -2.3463306789877177e-09 -1.2329782368107342e-11 8.405800452934409e-13 2.121827511446509e-12 5.799544841242785e-09 1.852778707345045e-06 -1.2238278217353515e-06 8.405800452934409e-13 -1.3422360291286796e-11 -3.909518492402651e-12 -2.346228997052393e-09 -1.2238292141915816e-06 -6.804364986174605e-07 2.121827511446509e-12 -3.909518492402651e-12 -2.1742142276151652e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 5.670520369141973e-07 -7.50815566635796e-07 1.5802354872453713e-06 -1.2566162465200413e-11 2.241117107186762e-12 3.680075144090616e-12 -7.508157782875948e-07 -8.39950129513021e-07 -6.848672837298495e-07 2.241117107186762e-12 -1.230460364160465e-11 -3.471586435663542e-12 1.5802344690182014e-06 -6.848666505400959e-07 2.7289809352161774e-07 3.680075144090616e-12 -3.471586435663542e-12 -1.589104749858544e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.852665066763029e-07 4.300014328394627e-07 8.426885708769754e-07 -1.0837811864358452e-11 -1.745458275683551e-12 1.0283432497057126e-12 4.300012433495577e-07 -4.99280049512186e-07 1.301887827401592e-06 -1.745458275683551e-12 -1.7865237686282666e-11 4.381582932170857e-12 8.426889568219391e-07 1.3018889955315743e-06 1.3845465550109234e-06 1.0283432497057126e-12 4.381582932170857e-12 -1.3009584407307604e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -5.994191230973407e-07 1.7227473354870626e-07 -1.2625423816105285e-06 -1.5588694176917932e-11 6.2388551932078e-13 -3.062942383654359e-12 1.7227458576189624e-07 -1.1030784476148738e-06 -3.905288517440774e-07 6.2388551932078e-13 -8.536532205345965e-12 2.6888197537670523e-13 -1.2625413819965227e-06 -3.9052887584181177e-07 1.7024975708145989e-06 -3.062942383654359e-12 2.6888197537670523e-13 -9.80182999199969e-12,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1702346556270535e-06 3.342987237477577e-08 -1.610427336541341e-08 -1.1806912249724197e-11 9.28981716810166e-13 1.9563140017008058e-12 3.3429628271713925e-08 1.6820370607757874e-06 -1.3742222365189412e-06 9.28981716810166e-13 -1.3393485125658849e-11 -4.243090640134976e-12 -1.610417200159311e-08 -1.374223570682215e-06 -5.118023972502981e-07 1.9563140017008058e-12 -4.243090640134976e-12 -2.0313991083916154e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 7.260997515748214e-07 -8.51853693987108e-07 1.522209128385264e-06 -1.205630356622033e-11 1.926932305173186e-12 3.4711166617763054e-12 -8.518539095384606e-07 -7.820878772925247e-07 -6.854417850389884e-07 1.926932305173186e-12 -1.2076419810276309e-11 -3.489282340322464e-12 1.5222081152154768e-06 -6.854411563776543e-07 5.598812655400688e-08 3.4711166617763054e-12 -3.489282340322464e-12 -1.642488915457538e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.147575363577536e-07 3.553426528774775e-07 8.249217820518285e-07 -1.1004413073516254e-11 -2.0048773745867424e-12 1.0182559801263754e-12 3.5534246662236635e-07 -6.555495806461673e-07 1.1789510419049516e-06 -2.0048773745867424e-12 -1.8441750297902734e-11 4.034349131048425e-12 8.249221735087714e-07 1.1789522174811957e-06 1.5703071157970255e-06 1.0182559801263754e-12 4.034349131048425e-12 -1.2547392038832223e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -4.261743732602626e-07 1.914541498621582e-07 -1.4025542548273077e-06 -1.5156675897932992e-11 6.928442235677359e-13 -3.3986758261012507e-12 1.9145399876640844e-07 -1.1065639295551958e-06 -3.6755860244564945e-07 6.928442235677359e-13 -8.551093765201657e-12 3.526414499435551e-13 -1.4025532559073983e-06 -3.6755862923930374e-07 1.5327383028463053e-06 -3.3986758261012507e-12 3.526414499435551e-13 -1.0209051533655223e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1675842586606515e-06 5.894115979526277e-08 -3.322965588911017e-08 -1.1312070836236195e-11 9.987512700056199e-13 1.78805008034552e-12 5.8940930269157235e-08 1.493447088626357e-06 -1.500963314560673e-06 9.987512700056199e-13 -1.3413445380893091e-11 -4.476294953767008e-12 -3.3229555476714815e-08 -1.5009645939964367e-06 -3.258628225531021e-07 1.78805008034552e-12 -4.476294953767008e-12 -1.892696764898455e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 8.757271431948807e-07 -9.511782490905192e-07 1.4404898468168631e-06 -1.1589539955891329e-11 1.6197079507757246e-12 3.1995717410933296e-12 -9.511784684172179e-07 -7.2286538887289e-07 -6.710829347817779e-07 1.6197079507757246e-12 -1.1847653149764081e-11 -3.4646507370969815e-12 1.4404888378215877e-06 -6.710823108404235e-07 -1.528617535807911e-07 3.1995717410933296e-12 -3.4646507370969815e-12 -1.6937827658451944e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.445389484834508e-07 2.8400182745293145e-07 7.971102490676897e-07 -1.1178945309117951e-11 -2.261411569600854e-12 9.744439878133396e-13 2.840016440514633e-07 -7.944125774518578e-07 1.035162473595763e-06 -2.261411569600854e-12 -1.8971844869051085e-11 3.620252311109597e-12 7.971106466496383e-07 1.0351636565593727e-06 1.7389515247093296e-06 9.744439878133396e-13 3.620252311109597e-12 -1.213022273985518e-11
