x_chief,y_chief,z_chief,x_deputy1,y_deputy1,z_deputy1,x_deputy2,y_deputy2,z_deputy2,x_deputy3,y_deputy3,z_deputy3
5.439577489210692875e+03,-5.525003108212381449e+02,4.201431990278112607e+03,5.438575546741749349e+03,-5.527715239454857965e+02,4.201487336198487355e+03,5.442933463542264690e+03,-5.514112736592554711e+02,4.201514169097410559e+03,5.443272600067967687e+03,-5.549258833805580480e+02,4.201602805604132300e+03
5.147514135080918095e+03,-5.982048133637482579e+02,4.548780127306047689e+03,5.146394557203982004e+03,-5.984959167960830655e+02,4.548820585040936749e+03,5.151269133425116706e+03,-5.970346054004658072e+02,4.548937363616983021e+03,5.151659995482238628e+03,-6.008418459930270501e+02,4.549047312330419118e+03
4.832965521967121276e+03,-6.412962762808646175e+02,4.876203290953251781e+03,4.831725568258126259e+03,-6.416051098668664281e+02,4.876221898326407427e+03,4.837130467946025419e+03,-6.400531808784909344e+02,4.876459174474498468e+03,4.837578115781826455e+03,-6.441372334398031398e+02,4.876595974085777016e+03
4.497315174421787560e+03,-6.815877338386185329e+02,5.182276881082831096e+03,4.495952705131824587e+03,-6.819119450496951913e+02,5.182265889818666437e+03,4.501899156259923075e+03,-6.802807918521777992e+02,5.182657948636974652e+03,4.502408857402384456e+03,-6.846248116921186693e+02,5.182828332330283956e+03
4.142037572572998215e+03,-7.189046253884304178e+02,5.465671139581848365e+03,4.140551191897083299e+03,-7.192416847747007296e+02,5.465622088261257886e+03,4.147047325516177807e+03,-7.175435856318921424e+02,5.466206684170730114e+03,4.147624415132991089e+03,-7.221297924601639124e+02,5.466418668337061717e+03
3.768691449433153139e+03,-7.530855217225196157e+02,5.725156700086195997e+03,3.767080637472885883e+03,-7.534327414898751840e+02,5.725060508320782901e+03,3.774130866066162071e+03,-7.516807801759435961e+02,5.725878504786747726e+03,3.774780587774856031e+03,-7.564905504636751630e+02,5.726141459667301206e+03
3.378912775532320666e+03,-7.839827886892015840e+02,5.959609657074965980e+03,3.377178006026564162e+03,-7.843373441375333641e+02,5.959456739113967160e+03,3.384782454308056913e+03,-7.825453171489062925e+02,5.960551658192122886e+03,3.385509783757457171e+03,-7.875592778836564776e+02,5.960876357508182082e+03
2.974407468247235101e+03,-8.114631866843594707e+02,6.168016143661051501e+03,2.972550309433796428e+03,-8.118221401954617704e+02,6.167796539279293029e+03,2.980704309791166907e+03,-8.100044517300098050e+02,6.169214028872434028e+03,2.981513763741859748e+03,-8.152025748177944706e+02,6.169612675820020741e+03
2.556943862009918121e+03,-8.354084050485787429e+02,6.349476410567393941e+03,2.554967058311568962e+03,-8.357687322699370043e+02,6.349179930762365984e+03,2.563660721864026982e+03,-8.339402783558272176e+02,6.350967158967088835e+03,2.564556155855699217e+03,-8.393019749668205804e+02,6.351453386323008999e+03
2.128344974089207426e+03,-8.557155307532030974e+02,6.503208401489016978e+03,2.126252506681921204e+03,-8.560741485881458175e+02,6.502824786244073948e+03,2.135470379530604077e+03,-8.542501919164881201e+02,6.505029773471652334e+03,2.136454777533026117e+03,-8.597544061214168778e+02,6.505618615965689060e+03
