dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.597940202164288949e-04,1.452905886522182742e-02,2.823866355748775106e-02,3.365656616444638594e-02
1.502724435519500116e-04,1.432641830376070631e-02,2.765675505793464481e-02,3.287239917653782956e-02
1.632646894041636534e-04,1.356242288101530517e-02,2.732676089837405772e-02,3.239606721120205646e-02
1.471888601092412633e-04,1.339799571861888770e-02,2.673343960692679822e-02,3.229385833551250140e-02
1.574591174218790350e-04,1.297604641033957458e-02,2.704567966945810309e-02,3.274936085706611072e-02
1.549083642119433886e-04,1.246090563557291850e-02,2.699712951906341196e-02,3.294219966128551086e-02
1.680123046584200365e-04,1.236502044619453185e-02,2.762012802909430756e-02,3.368656110902674278e-02
1.552200863050983164e-04,1.278204520644427196e-02,2.839255121649773839e-02,3.494508669435014703e-02
1.513751919855961016e-04,1.247952321826759602e-02,2.904579454467216479e-02,3.578244197609317667e-02
1.645744536578913229e-04,1.262327068017561789e-02,2.936021515474150981e-02,3.630969239305428808e-02
1.601183236250229667e-04,1.210067637432110481e-02,3.008470997159518046e-02,3.750173799223539828e-02
1.443511479836505622e-04,1.184574826923747576e-02,3.070190668506611945e-02,3.849064403018789826e-02
1.592452250810579830e-04,1.165804645536744170e-02,3.126957189491453432e-02,4.054660897281696375e-02
1.610171205704452905e-04,1.193019104240037286e-02,3.177706599927321296e-02,4.183963755169329418e-02
1.561125791185133968e-04,1.178620748619474239e-02,3.260747453684361558e-02,4.316510419798670617e-02
1.600524387786998075e-04,1.226768235239057009e-02,3.300335559576359629e-02,4.467740858857337932e-02
1.473389837671339490e-04,1.268561329714580632e-02,3.360744216290776493e-02,4.621090627515630350e-02
1.519958883691027653e-04,1.200172130094751856e-02,3.365515916112062078e-02,4.762373511160641198e-02
1.546166120384622541e-04,1.219088061365592411e-02,3.417062113017822755e-02,4.893178061089750730e-02
1.546085199205083738e-04,1.178324005092242811e-02,3.371448718691079371e-02,5.034921202386249961e-02
1.676089047964138972e-04,1.183537857744991137e-02,3.383289243851107797e-02,5.109770331963699175e-02
1.570684443401478274e-04,1.184038824207489689e-02,3.408154017595163565e-02,5.162345158524082184e-02
1.435751519922286786e-04,1.216791903998674061e-02,3.475135955572496854e-02,5.203342769669190571e-02
1.556632990881139794e-04,1.296932064102439622e-02,3.463383665837937303e-02,5.244577088747330584e-02
1.542245013846939143e-04,1.292924597078678496e-02,3.486189237047506578e-02,5.311049320417990383e-02
1.659189483899318064e-04,1.281695523580287516e-02,3.466523752502680827e-02,5.340561636007748469e-02
1.483048326586455194e-04,1.338714049548572586e-02,3.458735967337270290e-02,5.397167625723567341e-02
1.498916289942899807e-04,1.272138336009879384e-02,3.471416474862544510e-02,5.348833905844340569e-02
1.491583045690067174e-04,1.237577676313299582e-02,3.356939978836985528e-02,5.371383717133080410e-02
1.517600655256971429e-04,1.179207156094657510e-02,3.333014710449786616e-02,5.355312013949974081e-02
1.564572138650327624e-04,1.130576933854153358e-02,3.234945729485014243e-02,5.335835022341976763e-02
1.625857592477826486e-04,1.028428467931235928e-02,3.178796885441429604e-02,5.321856406983727777e-02
1.508732472174078036e-04,9.130769551673930881e-03,3.074239404433171813e-02,5.197944152531172590e-02
1.551100608859839417e-04,8.247596953810654857e-03,2.993959681203576043e-02,5.134538619232259515e-02
1.576329306000931040e-04,6.763775082137344317e-03,2.819015643430366688e-02,5.074111996160968197e-02
1.585603324626144045e-04,5.822493486063839117e-03,2.684596712827276230e-02,4.942910477344211739e-02
1.497608327287299683e-04,6.024304171215601016e-03,2.477051612694301796e-02,4.857211199559130499e-02
1.634498260203567693e-04,5.743356900433206104e-03,2.316721215730305553e-02,4.713845404383432830e-02
1.536106272568000099e-04,5.521872446045425140e-03,2.166400285583800975e-02,4.589611189580054124e-02
1.526851437132153793e-04,5.067309509123525332e-03,2.002215543414896659e-02,4.432194138846722725e-02
1.611218888680506064e-04,5.101337488080868315e-03,1.891941465675445536e-02,4.249043077254948536e-02
1.561450436585765133e-04,5.158435405873185164e-03,1.622456258207976426e-02,4.042183361400406016e-02
1.617432422645601379e-04,4.536014168720121746e-03,1.447565949086551847e-02,3.817417066585079150e-02
1.581467041521662765e-04,4.874436400884832495e-03,1.325828933871500172e-02,3.672080351227454548e-02
1.661473606970866805e-04,4.753419253940443373e-03,1.222863766163705818e-02,3.423963649528980607e-02
1.572096260552975882e-04,5.005925307523190551e-03,1.182626785498082020e-02,3.302529954722942251e-02
1.631752779025035763e-04,5.108528384306080215e-03,1.165293916218465738e-02,3.026265949512245423e-02
1.603159843647834369e-04,5.183253813817943235e-03,1.140654639704711398e-02,2.944371179218441270e-02
1.609156411115342494e-04,5.667379167469087375e-03,1.129531349646304035e-02,2.704966405270140678e-02
1.520119035080116443e-04,5.777181302859274274e-03,1.122039203868645946e-02,2.543734967810637460e-02
1.532846462213780902e-04,6.064614733527226229e-03,1.117925868745590565e-02,2.426387108393433800e-02
1.508927864309157145e-04,5.944213188650171280e-03,1.214983494299155288e-02,2.380040257308654872e-02
1.610030957825936383e-04,6.119434313612811920e-03,1.228700367622785443e-02,2.273146551683556671e-02
1.442126587201203686e-04,5.942488410763293281e-03,1.232573508658613842e-02,2.213426729536698695e-02
1.624938280400771700e-04,6.241302776883890339e-03,1.293937402919903036e-02,2.209873062412713585e-02
1.627580275620163790e-04,6.583014843146091019e-03,1.371166761658493792e-02,2.283815462660227641e-02
1.578778222710922052e-04,6.593663007268372143e-03,1.400640932788054654e-02,2.254200251195286747e-02
1.636805749176633673e-04,6.923173922813738966e-03,1.472614550949649485e-02,2.376482142047517052e-02
1.670837835603282472e-04,7.346715975832060312e-03,1.581707383349487822e-02,2.541718219824624578e-02
1.631665541147530674e-04,8.014184338530955590e-03,1.631103703959010248e-02,2.619442351037435876e-02
1.666903450801428374e-04,8.049465079219601804e-03,1.615851015586071762e-02,2.675950362568091379e-02
1.569343067410940444e-04,8.036024323627892832e-03,1.636241611869844112e-02,2.780870180206469755e-02
1.654357945395227886e-04,8.675750387960038529e-03,1.699061443545927738e-02,2.810154498682775406e-02
1.588759851339242510e-04,8.767550503215941829e-03,1.673911168859873108e-02,2.881610903883274552e-02
