dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.510435142547826015e-01,1.710668267036208612e-01,1.517215606288427610e-01,1.584582077826979241e-01
1.531972449541111844e-04,5.780013478705476465e-02,4.632132241595109806e-02,5.642998805340640467e-02
1.608470972226943728e-04,2.425456761416085877e-02,2.349864216944525658e-02,2.400047827396682015e-02
1.625924480711783639e-04,1.846209937748305788e-02,1.842239722751341097e-02,1.859108961353327094e-02
1.598805835521509039e-04,1.707692364175537533e-02,1.644917433746348120e-02,1.654103089324768239e-02
1.679292547454967624e-04,1.665304484561017442e-02,1.560261793239399453e-02,1.595313878456174408e-02
1.533506071008557939e-04,1.614773434388736342e-02,1.467857267957491454e-02,1.538993272027987594e-02
1.549038004524350923e-04,1.586465678310205324e-02,1.380924676643748884e-02,1.469220108415235024e-02
1.618921189913786953e-04,1.519975346764908947e-02,1.304192951174161508e-02,1.451852242103806971e-02
1.546221222581219319e-04,1.583467199360403393e-02,1.316339715713135856e-02,1.411831228120776285e-02
1.588313591071904200e-04,1.504587385625794603e-02,1.181290465351243942e-02,1.340069501652651172e-02
1.648359521916408052e-04,1.401214919089099897e-02,1.112194892544990724e-02,1.249587151864792016e-02
1.575583928998956404e-04,1.387287836021552749e-02,1.001809528256348246e-02,1.196660870252179432e-02
1.694775602231717981e-04,1.326964882865228068e-02,9.662334279593698741e-03,1.203067293935458290e-02
1.601285992873417252e-04,1.309952244218248914e-02,8.888897780032614659e-03,1.157296126426915484e-02
1.722868582298696144e-04,1.243536750401075079e-02,7.981356308419264300e-03,1.139048661825269905e-02
1.617877049508933019e-04,1.118809699210376006e-02,7.394646071048937945e-03,1.118546012688287870e-02
1.564219332676192306e-04,1.120953288385849282e-02,6.761358308957226421e-03,1.141430238086500216e-02
1.576690286622305863e-04,1.078322723051847523e-02,7.034797148042912750e-03,1.077196382196025752e-02
1.642260894693046416e-04,1.139196181459918231e-02,6.977405891871318877e-03,1.140871829389725721e-02
1.648063744676358622e-04,1.091342964998929729e-02,7.652708137411131338e-03,1.119583982050262848e-02
1.484179975023058244e-04,1.067695738040434078e-02,7.179965017439306901e-03,1.103161038480078571e-02
1.539231574046252056e-04,1.068135766172892062e-02,7.847087831873959460e-03,1.119867809714027163e-02
1.738047486292986670e-04,1.122684783941325405e-02,8.581605208439946689e-03,1.130542031002621135e-02
1.704847977673660457e-04,1.053378772123129796e-02,9.731547474676995740e-03,1.161061822172220620e-02
1.532968184548891527e-04,1.017666092504931202e-02,1.033071782169042024e-02,1.144768129865003474e-02
1.402578418876703045e-04,9.306287197704581765e-03,1.096219933669573092e-02,1.056109160733070124e-02
1.631669558715219794e-04,1.040019277884838417e-02,1.262973938577218770e-02,1.164420983477118705e-02
1.580359284972269942e-04,1.007103787100080763e-02,1.355139964318235850e-02,1.024353082149662836e-02
1.513272017146358628e-04,1.033393958538686430e-02,1.481777504470324809e-02,1.050925823613172057e-02
1.662807612178711402e-04,1.006502401499253206e-02,1.432230424999890450e-02,1.026223554046765303e-02
1.514110483488850128e-04,1.005305799334271950e-02,1.569927997526122943e-02,1.104989114348552820e-02
1.483653940460194400e-04,9.718816235894862585e-03,1.592247665859735858e-02,1.113466537266598159e-02
1.657611556099968398e-04,8.870079109417989757e-03,1.510078090276489003e-02,1.059015988382023231e-02
1.576210309650200047e-04,9.846283490027229676e-03,1.686891152677070377e-02,1.161269938644450550e-02
1.511279201403176230e-04,9.055883380109904304e-03,1.612657326616992806e-02,1.161384715311173169e-02
1.655271751584034634e-04,9.159947207653803755e-03,1.600485982556130310e-02,1.185217759315655879e-02
1.485406015890876385e-04,8.787821188622287408e-03,1.494731888108585989e-02,1.132923068631183465e-02
1.543896719286478962e-04,8.993224205369654625e-03,1.545959365638527143e-02,1.165177272813539000e-02
1.483079327441049096e-04,9.664086691728183964e-03,1.550133073873048370e-02,1.187031912752309869e-02
1.580885601794973473e-04,1.006013552592947141e-02,1.577172294957067747e-02,1.225273174608158128e-02
1.612427170830491344e-04,1.071880043471443340e-02,1.604128396591289474e-02,1.262451602420031418e-02
1.544273941175157265e-04,1.054589898999968092e-02,1.605350739453473286e-02,1.280654310195378925e-02
1.606210702564449548e-04,1.123078325885651374e-02,1.515795103406180483e-02,1.308789643627764412e-02
1.590934814659378542e-04,1.186109964506657649e-02,1.613596944890145768e-02,1.397204432202314196e-02
1.484301838600847771e-04,1.301907531762682216e-02,1.598755460022443023e-02,1.476711967526240718e-02
1.711682942305718712e-04,1.393502608285478173e-02,1.512212889856057348e-02,1.516499832022534695e-02
1.629896092834765573e-04,1.395691911527521464e-02,1.424907253189118712e-02,1.557110802144924880e-02
1.609723372755712714e-04,1.571270541518577507e-02,1.458309311052748483e-02,1.681667792081229310e-02
1.594314908129576579e-04,1.570271136303775725e-02,1.400277124636676099e-02,1.692411656219898822e-02
1.527917005972583974e-04,1.716766585650866470e-02,1.461454993377494377e-02,1.801596382793604206e-02
1.654863421177243216e-04,1.662697306934343353e-02,1.248377059883201169e-02,1.738982358646515292e-02
1.648143591227621519e-04,1.449020823708689967e-02,9.909149209893520008e-03,1.539125500415402560e-02
1.597776858051047069e-04,1.360755154846368838e-02,9.153181130377670283e-03,1.432449019477047801e-02
1.536443386943583478e-04,1.590115381741939032e-02,8.803173509365831706e-03,1.572768057706408137e-02
1.572498554957975597e-04,1.544201746343925284e-02,8.722211047643974383e-03,1.593375481312983219e-02
1.660383159521199069e-04,1.672238502020537837e-02,8.585515977109898361e-03,1.621810744492934581e-02
1.531494005048247191e-04,1.531454836327601418e-02,7.262666147571246109e-03,1.501095898006834031e-02
1.742664544008256300e-04,1.483886212836925227e-02,7.761607847186657860e-03,1.301361880955450960e-02
1.586161408852649485e-04,1.446379296124702604e-02,8.546500184089226779e-03,1.172750603213701913e-02
1.590590251045519512e-04,1.610732848652690272e-02,9.542031138748874666e-03,1.135525314622229213e-02
1.494628045052494194e-04,1.580396900223103585e-02,1.007389156238443217e-02,1.100072726468029165e-02
1.621390020458388678e-04,1.456948991760099489e-02,8.250818918249304759e-03,1.094691675008836046e-02
1.576170937144819810e-04,1.328702857410981632e-02,7.568854310349941786e-03,9.873250340744481324e-03
1.730947925434328386e-04,1.053020544884041010e-02,6.228670453058584959e-03,1.001635824863940025e-02
1.552086941041740348e-04,1.140233175939234928e-02,6.415012199078909058e-03,1.115904305584564625e-02
1.565286181765902015e-04,1.166803573167484419e-02,6.211046868507592682e-03,1.167758691124488879e-02
1.582146761471638118e-04,1.221257499613212678e-02,6.443471884548689597e-03,1.191567277117767248e-02
1.636001856590719300e-04,1.158250620869234401e-02,5.951790969872639871e-03,1.138400237520358939e-02
1.570678204346416301e-04,9.805739356326349451e-03,5.091534345812831486e-03,9.849019487477890175e-03
1.603180456635107387e-04,1.027837532554263210e-02,4.938273375639225422e-03,1.038257153297617551e-02
1.659404511281096411e-04,9.250663848190603805e-03,4.766206580915316113e-03,9.838353251996979909e-03
1.596349448327740003e-04,8.952550657639210541e-03,5.127808476513442612e-03,9.389217757021202718e-03
1.513328056831170448e-04,8.878599146393110347e-03,5.508448439966283881e-03,8.705239134569777229e-03
1.634739522330696290e-04,9.079558603660440805e-03,6.930617516686426310e-03,9.140220815540894481e-03
1.605174550216293924e-04,8.442301705485065477e-03,7.032088310340444889e-03,8.359631401913862614e-03
1.533863299901710509e-04,8.757340457843593509e-03,7.677295046878941480e-03,8.837786008799640089e-03
1.604698730084095932e-04,8.351471189759719291e-03,8.332325134738260280e-03,8.177346353972748949e-03
1.585893098034889563e-04,9.363767630443348838e-03,1.060044908597527688e-02,8.588467677089975036e-03
1.563176664591307764e-04,7.832630355376180020e-03,8.743031971135416941e-03,7.556333198376162866e-03
1.632955956058030006e-04,6.693046835184305633e-03,9.151013578389700226e-03,6.936784084882685608e-03
1.550956492659514457e-04,6.419225256604960128e-03,8.788119650106163833e-03,7.348788428636832820e-03
1.545053128174614810e-04,6.904013389144719563e-03,9.312736701549589532e-03,7.257404408730854135e-03
1.661883194422470974e-04,5.977665670319686972e-03,8.448651837691067285e-03,6.205650204226095291e-03
1.557186017704892899e-04,5.399548156592573651e-03,8.214592162187707436e-03,6.095548381250700393e-03
1.487955852067136418e-04,5.234375336406309372e-03,7.846411905563434319e-03,6.036879508062903583e-03
1.508161782479100444e-04,5.081423293634828968e-03,8.521513983694675720e-03,6.150294957648952052e-03
1.524607294853208778e-04,5.012345851969925679e-03,7.668622402218715738e-03,5.590394188388905436e-03
1.507474116516796070e-04,5.086671374298174994e-03,7.635439109882586478e-03,5.657277778361729723e-03
1.461375387375640680e-04,4.608573386335230657e-03,6.919644149707289069e-03,5.391291092750874134e-03
1.547458644654858720e-04,4.753172436787482004e-03,7.181397573034038577e-03,5.246607783927860480e-03
1.612332912412662851e-04,5.107395620261575425e-03,7.603246815903627782e-03,5.508872165447340451e-03
1.600020863013195966e-04,4.917513158305523296e-03,7.571423161558081885e-03,5.798440112718061638e-03
1.591757704320277244e-04,4.997890897615943871e-03,7.547039524336222188e-03,5.544826791252220090e-03
1.562423171050617043e-04,5.705987990504440659e-03,7.653513463699138791e-03,6.612436898988977192e-03
1.580151982401507057e-04,6.054008103470186891e-03,6.808803704182278017e-03,7.049076245621876610e-03
1.612028465339380198e-04,7.254809762500566243e-03,7.871993774332862459e-03,8.600645034165686417e-03
1.433772630204556550e-04,8.584817507935781772e-03,8.650717741658733168e-03,9.965165489504530447e-03
1.624428518388562354e-04,1.001627081164192454e-02,9.009058349221216525e-03,1.144969745508728209e-02
1.671033327352441857e-04,1.027809080328228979e-02,8.857180784399098714e-03,1.178976192016169440e-02
1.643965666217123893e-04,1.027546542779291146e-02,7.995746060699459104e-03,1.208771257519414277e-02
1.650587859563753309e-04,1.182162937291024798e-02,8.250350134279596168e-03,1.324757160690347851e-02
1.589973147432803980e-04,1.283492732447712517e-02,8.171113948132824670e-03,1.378195877537490704e-02
1.472624038298062652e-04,1.212397521324812613e-02,7.012260782540999209e-03,1.285283193858198503e-02
1.506941763485494692e-04,1.250491982686665997e-02,6.354256711579881790e-03,1.274737530177840611e-02
1.640011366696688181e-04,1.148246473646778038e-02,6.331526109057159651e-03,1.145007995828962663e-02
1.535375322834205776e-04,1.406188506575973413e-02,7.365809468464392350e-03,1.273921038930073309e-02
1.555728085917885311e-04,1.443680323160671797e-02,7.191969625126430968e-03,1.213477166992807735e-02
1.688811479541239802e-04,1.457184511386083563e-02,8.717278368587925985e-03,1.116783531460726481e-02
1.764825735257287485e-04,1.494061922122761309e-02,9.619348072904361155e-03,1.033840292252414562e-02
1.564758861980785113e-04,1.307583948119693529e-02,7.901058256425303600e-03,9.590411923682116979e-03
1.524902971849883410e-04,1.249182208820667078e-02,8.063458732763153017e-03,9.041685201044594861e-03
1.558593976472819639e-04,1.014190324687244162e-02,6.108104791196250494e-03,8.078754011695388204e-03
1.665883639500536186e-04,8.333297194510284542e-03,5.627079478896104305e-03,8.523833978106003934e-03
1.504835679938881451e-04,9.011899946990982457e-03,5.563906985218316191e-03,9.213348374806609037e-03
1.582396594541538688e-04,1.039531984912656949e-02,5.909317279827532542e-03,1.024589967982180404e-02
1.542872472844892130e-04,1.045038901474154396e-02,5.505523693429503068e-03,1.052082122738126797e-02
1.480388940059879403e-04,1.014598725188184912e-02,5.166600798972706930e-03,1.019069706508680603e-02
1.576133091431063474e-04,9.178942005893090533e-03,4.659400389682446207e-03,9.538017445088604190e-03
