dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.636739018240441768e-01,1.566367908584302415e-01,1.563608160158531379e-01,1.558541199528780674e-01
1.553129673912256176e-04,4.882719074383711638e-02,4.304638245456682971e-02,4.701168593880324792e-02
1.655178020768750856e-04,2.172262072796741009e-02,2.357890207396622431e-02,2.301205895255507144e-02
1.503962587581518561e-04,1.705812981245204835e-02,1.749401459024842870e-02,1.679301823017738740e-02
1.530700296812363334e-04,1.599061700565260896e-02,1.566840231538699224e-02,1.499589816817650280e-02
1.523934167167870159e-04,1.470086272611998909e-02,1.426832677057930480e-02,1.406686746266464470e-02
1.569495628389432356e-04,1.416717661874449322e-02,1.323519158196877731e-02,1.328956319778062944e-02
1.600045652216426509e-04,1.407995226798436882e-02,1.271574982556411028e-02,1.316923328780246136e-02
1.632271714532955453e-04,1.367964964771169190e-02,1.199513892152177102e-02,1.240731012399270278e-02
1.458796479322235979e-04,1.347748351880394962e-02,1.126422469944738346e-02,1.182636314145809990e-02
1.590899501061780123e-04,1.312233291694769183e-02,1.050534073933708651e-02,1.180493658921482301e-02
1.661455424621413168e-04,1.291933603721016031e-02,9.800460119123872646e-03,1.133608561419818805e-02
1.534955231811505223e-04,1.267585959696482419e-02,8.892474163404637949e-03,1.119783521513831835e-02
1.632015559648283722e-04,1.222134727665834253e-02,8.581199745168547818e-03,1.104815515330290904e-02
1.517993862357604575e-04,1.197788903929477775e-02,8.266576066001313228e-03,1.086435830622602128e-02
1.417389343346873412e-04,1.138071111445859013e-02,7.146218448535971574e-03,1.042865232569407073e-02
1.582894359784604616e-04,1.030303106649629527e-02,5.976921310948315330e-03,1.014672023206083899e-02
1.606948440297424358e-04,1.022713497119822831e-02,5.886604614326947961e-03,1.015446147573422636e-02
1.559683799047167701e-04,9.892188390779264526e-03,5.393023280356917630e-03,1.010287332679650485e-02
1.449853207700469533e-04,9.788504156297790637e-03,5.882463124712997843e-03,9.989869902562483264e-03
1.662595557246429611e-04,9.251569215737356217e-03,6.576195488597409017e-03,9.455706600400544740e-03
1.595943724306739372e-04,9.642874391084917118e-03,6.911731335744476443e-03,1.042363748082171873e-02
1.546525573436321251e-04,9.264252974331237817e-03,7.095691325823388559e-03,9.529465643450267878e-03
1.637513629178551219e-04,8.693817115767428147e-03,7.587207531429824951e-03,9.533458953182874507e-03
1.431905247067468182e-04,8.647537140549398788e-03,8.260294458312276641e-03,9.528910888020644676e-03
1.496311928663680629e-04,8.256987441455046484e-03,9.251847144198939790e-03,9.575836104952925587e-03
