dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.590140721545915930e-04,7.204692196863629605e-02,4.708492901688079990e-02,6.884731004069367943e-02
1.591436220437374193e-04,6.589583879673988065e-02,4.541128444630951333e-02,6.926883208757898813e-02
1.572818178082728438e-04,5.943795122178940210e-02,4.594598116698302842e-02,7.118320480454348731e-02
1.550161128974213186e-04,5.259584688417998088e-02,4.829258967007613035e-02,7.175943857291318395e-02
1.594147128866511614e-04,4.623176383465283507e-02,5.211481136210759091e-02,7.151051619460771502e-02
1.484540583544511662e-04,3.961535390506464721e-02,5.755210672405938060e-02,7.363593510368519890e-02
1.617155556550283564e-04,3.331776213363617234e-02,6.041700080417387181e-02,7.306834269571163554e-02
1.405992914368369708e-04,2.725214466982054523e-02,6.153549012498223808e-02,7.379756678414900462e-02
1.503767999758615396e-04,2.310048140385957682e-02,6.243014650234381818e-02,7.371434437378565629e-02
1.608128928545302506e-04,1.777680296982206073e-02,6.129474578215545616e-02,7.309592062791726852e-02
1.682075240939507439e-04,1.598477610377779107e-02,6.169292639315061832e-02,7.227107596175195992e-02
1.613710343571778528e-04,1.421948647592478215e-02,5.766859609750305676e-02,7.088769985154072528e-02
1.542419653818041488e-04,1.210954561082471653e-02,5.285428260947515333e-02,6.934419323431229021e-02
1.608703498960010309e-04,1.189236653495386216e-02,5.035805893059473043e-02,6.760114897033651926e-02
1.609235397190009274e-04,1.100956447142113423e-02,4.449245307531683041e-02,6.525356848976651691e-02
1.659916862791259657e-04,1.135941387903569369e-02,4.116549752878790464e-02,6.289933673134619208e-02
1.685256928053496459e-04,1.019122241990844287e-02,3.524007847555679640e-02,6.018681019272038163e-02
1.643419890162264505e-04,9.099679131478541003e-03,3.231107155326252978e-02,5.724601605958756778e-02
1.714610640208081085e-04,8.494800475849046198e-03,2.786386856300480594e-02,5.533476028220338239e-02
1.535032858466366004e-04,8.371934434718493120e-03,2.489989815751341221e-02,5.193886080395428845e-02
1.542987061035610164e-04,7.601567226297328145e-03,2.203816365286083781e-02,4.931562009026684706e-02
1.619111200194103058e-04,7.079517691295976640e-03,2.099739328428637530e-02,4.671222696300316585e-02
1.568971874866816421e-04,7.255225166403602398e-03,1.822641281370203023e-02,4.315359684378407973e-02
1.542807496340297302e-04,7.314349818348026000e-03,1.775567639210744175e-02,4.109093115335490931e-02
1.759318486279843111e-04,6.786898992196662914e-03,1.642270245304490797e-02,3.853798742636575098e-02
1.528956878853205965e-04,7.680707457473516693e-03,1.630487275881042919e-02,3.621947188100140685e-02
1.598964359649117156e-04,6.671104003785961745e-03,1.436993004392054379e-02,3.319394251133685192e-02
1.594750365045741441e-04,6.341068639179947737e-03,1.429065539480483225e-02,2.957348212066388676e-02
1.674897327949968783e-04,6.243364149530111762e-03,1.517395856523499724e-02,2.963469837365195758e-02
1.552226917550103688e-04,6.066739041782037711e-03,1.541050542389726767e-02,2.878952310591558622e-02
1.552585260549076932e-04,6.446984212993278618e-03,1.515930392522505873e-02,2.814707626789549749e-02
1.613791716986497516e-04,5.834468683850442192e-03,1.529112639467801113e-02,2.907155574527094805e-02
1.605681620198247872e-04,6.822047044409917070e-03,1.582185646990768094e-02,2.977610849669807408e-02
1.495312905679210716e-04,7.154335884530705139e-03,1.741382482776536803e-02,3.227824997702626042e-02
1.621988010957215592e-04,7.167536933676043123e-03,1.681014263919722654e-02,3.318770153181713894e-02
1.710574666769045437e-04,7.500387380971946551e-03,1.734002169091869092e-02,3.532540363523516830e-02
1.599756106811197937e-04,8.249264102552890734e-03,1.824148570264536723e-02,3.804683356370681252e-02
1.635899037028598407e-04,9.101182716966974701e-03,1.899265207302257286e-02,4.073695731829408279e-02
1.507985623848087273e-04,9.951064250983300899e-03,1.913181042196837947e-02,4.276837164863540874e-02
