x_chief,y_chief,z_chief,vx_chief,vy_chief,vz_chief,x_deputy1,y_deputy1,z_deputy1,vx_deputy1,vy_deputy1,vz_deputy1,x_deputy2,y_deputy2,z_deputy2,vx_deputy2,vy_deputy2,vz_deputy2,x_deputy3,y_deputy3,z_deputy3,vx_deputy3,vy_deputy3,vz_deputy3
-6574.969682247466,-320.8139416806055,2337.353839831928,-2.564465234951787,0.9620893685196036,-7.044722506022548,713.8074746661697,2341.5073186212703,-6489.632851345111,0.6668625625171348,-7.149228675749928,-2.4752292236317572,-5879.445581209798,3578.5080078551096,1160.4674591815403,1.601862725866402,0.24086387081524113,7.385840482325282,-41.016858329231965,2498.635736251787,-6519.992585236957,2.7530184101684037,6.5737469671491935,2.491992156158874
-6714.886875768228,-262.4536744503744,1910.0337386365397,-2.0978102332767405,0.9825700328990715,-7.194267499191714,752.2632329533881,1907.8492148920652,-6624.11515736006,0.6145349067220048,-7.300897146441665,-2.0058755269716557,-5770.987652242203,3585.394022870204,1600.8482154695264,2.0121140166759672,-0.011401334974890915,7.288342296490118,124.13475204883767,2887.5444292018697,-6356.866576350364,2.7501109709978655,6.3853431695289355,2.9436392968308787
-6826.531070043637,-202.9883431262785,1474.6496733534602,-1.6223667496509555,0.9989118933968163,-7.313426611902439,787.4985575083434,1466.023788658247,-6730.161460008677,0.5595529533604164,-7.421370396734303,-1.527702667662323,-5638.163882761462,3577.1420633381094,2034.4517653778457,2.4137689932529653,-0.2635556592618298,7.160016792837206,288.7656482547102,3264.340763276335,-6167.00298631457,2.7356670396660716,6.170141176978519,3.3829344810265938
-6909.43560757149,-142.668425749502,1033.0405153512245,-1.140162147106852,1.0110463235504434,-7.401698222088963,819.3611818161862,1017.9198216666991,-6807.304259366136,0.5021516420728183,-7.510102311476868,-1.0427717377742067,-5481.54156427919,3553.7910922846927,2459.4447849953813,2.805117901920796,-0.5145228562695527,7.0014299512561635,452.185152881618,3627.443066944281,-5951.198313588227,2.7097449133453937,5.929033215342856,3.8080404409237594
-6963.256394868785,-81.74796855210653,587.0711898211817,-0.653252938365759,1.0189230579742699,-7.458715840822189,847.71326674472,565.4547265429135,-6855.200728899261,0.44257677383774435,-7.566685023195715,-0.5531759176080286,-5301.789175551795,3515.4444609773504,2874.0318623586772,3.18449886163985,-0.763233724967402,6.813278933793629,613.7075068170682,3975.3264514868815,-5710.357639953499,2.672450217830345,5.66301927513785,4.217176230133004
-6987.773363137263,-20.48347669188017,138.62451228787702,-0.16371514939933848,1.02251042867846,-7.484249836881021,872.4320208001811,110.5661891435358,-6873.634368129698,0.3810839564513691,-7.59085091099504,-0.06103136875284997,-5099.673284565423,3462.2693382221605,3276.463255537789,3.55030532324045,-1.0086310239514453,6.59638821397243,772.6547036452773,4306.5291746287485,-5445.491030639099,2.6239357019302427,5.373203631156651,4.608624561014058
-6982.8913468312185,40.867206101726836,-310.4070555914895,0.3263654347153932,1.0217954980456234,-7.478208400111714,893.4102558726036,-344.7962920919598,-6862.516105641118,0.31793750915205266,-7.5824740347765305,0.4315319771148748,-4876.055014703915,3394.4958485409757,3665.042399317884,3.9009931301587724,-1.2496742550094764,6.35170507598164,928.3593064925279,4619.658782208034,-5157.709497327984,2.5644008561955762,5.060790921665093,4.9807390327398835
-6948.640375367825,102.04602272331557,-758.1296849272595,0.814903064617303,1.0167840871354603,-7.440637733962828,910.55687609751,-798.6799358401194,-6821.884846830225,0.2534093289428446,-7.541571002010929,0.9223797120501716,-4631.88610023994,3312.415928071704,4038.13312428227,4.235087140978088,-1.4853442838504178,6.080294538386022,1080.1672364805272,4913.398001039471,-4848.220531587875,2.494091346187818,4.727081773649193,5.331951216370555
-6885.175377875018,162.7958264431859,-1202.6564469126395,1.2998217843076607,1.0075006993688984,-7.371721477726266,923.7972976064862,-1249.1372424412573,-6751.907462075469,0.18777772094328857,-7.4683012613979,1.409382307239398,-4368.204558430156,3216.3819088089485,4394.166555522058,4.551187382184279,-1.7146477704655647,5.783333761426793,1227.4405213778853,5186.5103554147845,-4518.323218457345,2.413298251001646,4.373467964192247,5.660777557605909
-6792.775305525821,222.86149697386247,-1642.1155226067426,1.7790650746223151,0.9939883410258472,-7.271779369167875,933.0737970762378,-1694.234558662848,-6652.878212273144,0.1213261950347314,-7.362966814691374,1.8904245082790994,-4086.1300071403743,3106.8048433241015,4731.647661834268,4.847974707905224,-1.9366213859779506,5.462105999786575,1369.5599925099202,5437.845479226706,-4169.40294243304,2.322357098749438,4.001427112808095,5.96582605290865
-6671.84168056115,281.99104273710384,-2074.6583101770766,2.250605308025827,0.9763082413346503,-7.141265168096618,938.3457871238802,-2132.0606074338443,-6525.217610044813,0.054342231170018254,-7.2260113350904485,2.3634147466794637,-3786.858658069559,2984.1525833542846,5049.161430025185,5.124215951747247,-2.1503357974757726,5.117994163837862,1505.9279175318009,5666.344095560093,-3802.925700890664,2.2216466922034845,3.6125169052986643,6.245802650565198
-6522.896585459152,339.9366834221518,-2498.467386108465,2.712452944281606,0.9545394761975522,-6.980763870713369,939.5900167462189,-2560.7349465352113,-6369.470716428777,-0.012883983992530346,-7.058018678244688,2.826294540764118,-3471.6580162907644,2848.947626617866,5345.378642710473,5.378768563902234,-2.3548994070583396,4.7524740519125865,1635.9705563176733,5871.042635820808,-3420.4320429760537,2.1115877197253576,3.208368856256506,6.499517325185114
-6346.580109778043,396.45590720386315,-2911.7642789342663,3.1626654020372627,0.9287785007488836,-6.790988253034549,936.8006951735575,-2978.4163193448057,-6186.304874600454,-0.08006084600261502,-6.859710770419018,3.2770478548907502,-3141.8613170077033,2701.764746899849,5619.061241702466,5.610584734224203,-2.5494618359896326,4.367107314105082,1759.140626994226,6051.077471112337,-3023.5306551543504,1.9926411489408689,2.790681624483564,6.725889772296655
-6143.647275900814,451.3124973321647,-3312.817016570834,3.599355548096154,0.8991385969492872,-6.572774789067781,929.9895377144851,-3383.3108597899404,-5976.506884180492,-0.14689664331760555,-6.631944857988163,3.7137103808193923,-2798.8617301765103,2543.2284228618555,5869.067262609433,5.818715008735855,-2.7332171493016677,3.9635342046903905,1874.919669072888,6205.688729650562,-2613.891617827782,1.86530640327431,2.3612139031090353,6.9239546691959495
-5914.964468175709,504.2775232024164,-3699.9474112669336,4.020699753904212,0.8657492432533468,-6.327078995530608,919.1857324163278,-3773.68011273322,-5740.979622027618,-0.2131008852547604,-6.375710103405634,4.134378699393379,-2444.1063630153435,2374.01008118619,6094.355329562725,6.002311412827863,-2.905406820274612,3.5434661755920853,1982.8202907276748,6334.22367554283,-2193.239360642849,1.730119324356237,1.9217769138107974,7.092866449120959
-5661.505392721845,555.1302914587355,-4071.5380494355572,4.42494547731367,0.8287554140287675,-6.0549702595978525,904.4358266638345,-4147.848830192459,-5480.738118099841,-0.2783856417862174,-6.0921235152673985,4.537219274806119,-2079.0900894822344,2194.825169587274,6293.988701968897,6.160630099099355,-3.06532243781644,3.1086783576975576,2082.388287537691,6436.139626247354,-1763.3453472201725,1.5876499263746293,1.4742265420203657,7.23190353816836
-5384.346597416451,603.6592531570922,-4426.038957127647,4.810418336717963,0.7883168168387737,-5.757626209336033,885.8035331911792,-4504.212503166115,-5196.905098005585,-0.34246688882978527,-5.782425204132835,4.920477227968187,-1705.3492346146181,2006.4300749491265,6467.138867803862,6.293033541245652,-3.2123081627660013,2.6610019704556085,2173.204620470864,6511.006388456678,-1326.0205229695478,1.4384999515536574,1.0204551570687044,7.340472008119998
-5084.662583277543,649.6628635093414,-4761.973915542696,5.175528653897855,0.7446070759187938,-5.436326688084935,863.3694553917389,-4841.244588495582,-4890.706007236517,-0.40506585173894877,-5.447972961355638,5.282484830236457,-1324.4551402680945,1809.618901412837,6613.088680189556,6.3989922975657905,-3.3457629414687764,2.2023166933850598,2254.887241529225,6558.5081949833975,-883.1075623170168,1.283300239018994,0.5623831676709169,7.418108603414291
-4763.720539599227,692.9503912304484,-5077.946404655554,5.518777451087714,0.6978128701841844,-5.092447394080436,837.2307322755431,-5157.503390234991,-4563.46353573484,-0.4659103387847766,-5.090236165208056,5.621669654381386,-938.007637345247,1605.2201226854138,6731.235035802595,6.4780863685261005,-3.465142486571023,1.7345430261690524,2327.0927563006503,6578.445128422513,-436.4729539943662,1.122707922246167,0.10195036873455865,7.464483106759498
-4422.874735799598,733.3426750063556,-5372.645156679439,5.838761896580498,0.6481330339053597,-4.727453245135686,807.5006039419187,-5451.638555498941,-4216.591665337726,-0.5247360556020206,-4.710789026864205,5.936562316479909,-547.6284481450307,1394.0931222155461,6821.091095059333,6.5300061724164795,-3.5699610358217644,1.259634657202418,2389.5179136563365,6570.734020865899,12.001035042284173,0.9574034729959472,-0.35889285997921205,7.479400015171554
-4063.5606030327,770.672825077274,-5644.849304594398,6.134180201374616,0.5957776277946931,-4.342891525316617,774.3078989977686,-5722.397145786583,-3851.58926667954,-0.5812878908903688,-4.311303198080686,6.225803740710703,-154.9545410626972,1177.1246342278737,6882.288045019516,6.554553161561453,-3.6597928997696783,0.7795708540819871,2441.900913981091,6535.4088226828235,460.42447504475405,0.7880876120329201,-0.818194439463561,7.462799506325549
-3687.288538241458,804.7868683797501,-5893.433114268478,6.403835976686004,0.5409669876867739,-3.9403848664155534,737.7964459504336,-5968.62924638647,-3470.0332762233325,-0.6353211631630764,-3.893539772354789,6.488151879012631,238.36854140382988,955.2250979690812,6914.576406585507,6.551640098932618,-3.7342738086296894,0.2963488838419546,2484.0225286034424,6472.620437281167,906.9079252877648,0.6154781089254876,-1.2740094954248127,7.414757683805522
-3295.637462545707,835.5443361011885,-6117.370291716143,6.6466420683989496,0.4839307572863248,-3.521624111837062,698.1244112261274,-6189.293078680383,-3073.571488130206,-0.6866028180550962,-3.4593407215889513,6.7224878193875295,630.6933614753659,729.3249369373688,6917.826887893964,6.521291011525794,-3.793102067336176,-0.1880235340343088,2515.707024479381,6382.636022745838,1349.5705788834762,0.4403064947758228,-1.7244092140124028,7.335486098871015
-2890.2481647380973,862.8187928648206,-6315.737859718232,6.861623889545069,0.4249069106372051,-3.088361104489893,655.4635670965217,-6383.459582992376,-2663.9149995462612,-0.7349125656681383,-3.010619820457437,6.927821220344734,1020.3772527350909,500.370774377731,6892.030785862765,6.463640832720999,-3.8360395259856714,-0.6715357424626663,2536.822889648576,6265.837765230507,1786.5483573431607,0.26331471278002383,-2.1674895834808496,7.225330555468533
-2472.8164592783887,886.498307075624,-6487.719600327688,7.047922275563285,0.36414076906574583,-2.6424014336799937,609.9984934219359,-6550.316443055284,-2242.830351478558,-0.7800439476571073,-2.5493531203648834,7.1032950145717555,1405.7889561861323,269.321595959166,6837.29993773851,6.37893474126551,-3.8629123706126163,-1.1521816325317977,2547.283356494324,6122.721132872232,2216.001912306504,0.08525173204166134,-2.6013799580652415,7.084769214137362
-2045.0861866170128,906.4858622147166,-6632.609061678515,7.204795889336833,0.3018840164087002,-2.1855971690900025,561.9257177238311,-6689.171527150592,-1812.1314106343532,-0.8218053242561272,-2.07756904372755,7.248189332265703,1785.31520763059,37.144870329389725,6753.866224266153,6.26752719975385,-3.873611736664619,-1.6279671043716775,2547.0467213659995,5953.892622725037,2636.1244930550884,-0.09312984995665426,-3.0242513837843155,6.9144100189341655
-1608.8420820276588,922.6997090698535,-6749.81212899174,7.331623203810738,0.23839371538775753,-1.7198396029848841,511.4527986660545,-6799.455725457592,-1373.671040311241,-0.8600207721967157,-1.5973381769494635,7.361924603489345,2157.3672583078046,-195.18736181722113,6642.080625852752,6.129880690771748,-3.8680941447879413,-2.0969175070404735,2536.1164606330844,5760.0670166922555,3045.149640111687,-0.27107719137399855,-3.4343246305187316,6.714987479287165
-1165.9025374713838,935.0736590336231,-6838.849160737289,7.427904089401184,0.1739313270758093,-1.247052015072273,458.79735853834836,-6880.7251680423415,-929.3326105621876,-0.8945308854685435,-1.11076284660647,7.444063809173265,2520.3873104854692,-426.70241941549057,6502.411832902573,5.966564144467226,-3.8463817557443205,-2.5570850597853814,2514.5411447012207,5542.064165610953,3441.358667353032,-0.44784055274291373,-3.8298778803962676,6.487358845569242
-718.1122794329037,943.5573186917261,-6899.356691586847,7.493261031504448,0.1087617345501928,-0.7691824682276837,404.1860707831753,-6932.6628131289635,-481.02139934800834,-0.9251934720877697,-0.6199665677499848,7.494313861666206,2872.8548492036007,-656.4309224341449,6335.444411437689,5.778251047438719,-3.808562438601645,-3.006556254227079,2482.414152903621,5300.805323447104,3823.087897570469,-0.622676584173141,-4.209254029065533,6.232499722961948
-267.3349842382421,948.1162659663465,-6931.08870411644,7.527440000331554,0.043152271077151784,-0.2881966378047077,347.8536089759429,-6955.079400714897,-30.65593717944331,-0.9518841414338522,-0.12708345572602497,7.512526107694483,3213.2928506664825,-883.4107315684993,6141.876525257417,5.565717219691836,-3.754789643912427,-3.4434592331087317,2439.8731934586062,5037.309055951958,4188.735619229807,-0.7948515327485267,-4.570867563642494,5.951499172718322
184.5541488526897,948.7321680808542,-6933.9174712389195,7.530310991212129,-0.022628247452184426,0.19392932730615325,290.041563949581,-6947.913772099734,419.8406521881151,-0.9744967782509533,0.36575230662508346,7.498695958859434,3540.2738469109704,-1106.6908742194107,5922.517216292334,5.329838244185361,-3.6852820715433277,-3.8659711364185374,2387.0996338330547,4752.686750075768,4536.7687352305875,-0.9636443521475208,-4.913210988735531,5.6455543531132335
635.6758474308053,945.4028415802852,-6907.833971126792,7.501868248638464,-0.08831048658796505,0.6752159171617278,230.99733594016664,-6911.232561372309,868.5492631192068,-0.9929439010377936,0.8564168560900758,7.452961667002213,3852.425825409618,-1325.3354440870426,5678.283245523289,5.071586532297811,-3.6003231212579214,-4.272325400156776,2324.3176478535306,4448.1377519172,4865.72907766237,-1.1283496990948663,-5.234860779747644,5.315964754134171
1084.154219887757,938.1422545867484,-6852.947875995098,7.44223018189741,-0.15362555495055139,1.1536873543154418,170.9730087168289,-6845.2292702216755,1313.5633210299045,-1.0071569042204742,1.3428068037795133,7.375602273528607,4148.437941259471,-1538.4274609616289,5410.195497897858,4.79202800848972,-3.5002601131749325,-4.660818987019587,2251.793186748386,4124.9441620023745,5174.239365815945,-1.2882808040075966,-5.534482850367037,4.9641260803002005
